construct,dataset,target,best_external,self_auroc,ext_auroc,delta,ci_lo,ci_hi,n_ext,note
violation,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.8172,0.8205,0.0033,-0.0157,0.0229,4,
violation,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.6970,0.8334,0.1364,0.0914,0.1790,4,
violation,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0.5536,0.6936,0.1400,0.0886,0.1904,4,
violation,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.7204,0.7708,0.0504,0.0272,0.0740,4,
violation,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,0.8046,0.8588,0.0515,0.0069,0.0924,5,
violation,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,0.4371,0.7587,0.3215,0.2611,0.3797,4,
violation,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.9450,0.9545,0.0095,-0.0128,0.0330,4,
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0.9595,0.9940,0.0346,0.0136,0.0637,4,
violation,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.8652,0.9372,0.0720,-0.0164,0.1615,4,
violation,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.9943,0.9900,-0.0043,-0.0241,0.0077,4,
violation,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,0.8690,0.9748,0.1058,0.0636,0.1548,4,
outcome,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.6674,0.7003,0.0329,0.0087,0.0595,4,
outcome,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.6495,0.7237,0.0742,0.0365,0.1147,4,
outcome,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0.5768,0.6396,0.0628,0.0235,0.1021,4,
outcome,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.6430,0.6290,-0.0141,-0.0360,0.0087,4,
outcome,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0.6790,0.6961,0.0292,-0.0219,0.0804,5,
outcome,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0.3941,0.6814,0.2873,0.2437,0.3386,4,
outcome,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.7868,0.8788,0.0920,0.0648,0.1199,4,
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.9337,0.9630,0.0292,0.0102,0.0490,4,
outcome,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.8714,0.8769,0.0055,-0.0738,0.0834,4,
outcome,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.8777,0.9132,0.0355,0.0156,0.0565,4,
outcome,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0.7821,0.9384,0.1563,0.1115,0.2055,4,
judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.8783,0.9210,0.0427,0.0272,0.0588,4,
judgment,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.6367,0.8934,0.2567,0.2317,0.2825,4,
judgment,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.4643,0.8641,0.3998,0.3727,0.4286,4,
judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.7255,0.7932,0.0677,0.0396,0.0956,4,
judgment,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,0.7364,0.8774,0.1320,0.0946,0.1675,5,
judgment,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,0.4644,0.9196,0.4552,0.4233,0.4875,4,
judgment,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.8963,0.8964,0.0001,-0.0180,0.0165,4,
