construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,532,0.8894,0.8458,0.0436,0.0108,0.0790
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,532,0.8894,0.6653,0.2241,0.1699,0.2761
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,532,0.8894,0.5697,0.3197,0.2668,0.3735
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,532,0.8894,0.9027,-0.0133,-0.0430,0.0161
violation+judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,532,0.8894,0.4826,0.4068,0.3520,0.4605
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,517,0.8141,0.8427,-0.0286,-0.0600,0.0037
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,517,0.8141,0.6193,0.1948,0.1401,0.2523
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,517,0.8141,0.4252,0.3889,0.3318,0.4458
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,517,0.8141,0.8898,-0.0757,-0.1104,-0.0419
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,517,0.8141,0.4033,0.4109,0.3483,0.4745
violation+judgment,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,534,0.7535,0.8326,-0.0791,-0.1149,-0.0420
violation+judgment,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,534,0.7535,0.5974,0.1560,0.0909,0.2230
violation+judgment,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,534,0.7535,0.4269,0.3266,0.2686,0.3862
violation+judgment,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,534,0.7535,0.8660,-0.1125,-0.1459,-0.0788
violation+judgment,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,534,0.7535,0.4000,0.3534,0.3042,0.4043
violation+judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,470,0.7767,0.7245,0.0521,0.0066,0.0958
violation+judgment,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,470,0.7767,0.5218,0.2548,0.1982,0.3088
violation+judgment,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,470,0.7767,0.4060,0.3706,0.3065,0.4300
violation+judgment,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,470,0.7767,0.7092,0.0675,0.0234,0.1095
violation+judgment,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,470,0.7767,0.5942,0.1825,0.1117,0.2510
violation+judgment,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,502,0.8415,0.8451,-0.0036,-0.0427,0.0331
violation+judgment,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,502,0.8415,0.6104,0.2311,0.1640,0.2965
violation+judgment,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,502,0.8415,0.5348,0.3067,0.2271,0.3810
violation+judgment,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,502,0.8415,0.8879,-0.0464,-0.0836,-0.0095
violation+judgment,alfworld,deepseek-v4-flash,deepseek-v4-flash,0,345,0.8415,0.7031,0.1209,0.0466,0.1876
violation+judgment,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,502,0.8415,0.5194,0.3221,0.2693,0.3780
