dataset,assessor,target,pct,cut,bal_acc,realized_flag
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,0.000000,0.5099,0.9899
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,2,0.000000,0.5200,0.9801
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,3,0.000000,0.5294,0.9700
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,4,0.000000,0.5393,0.9599
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,5,0.000000,0.5481,0.9501
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,6,0.000000,0.5580,0.9400
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,7,0.000000,0.5664,0.9301
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,8,0.000000,0.5750,0.9200
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,9,0.000000,0.5840,0.9100
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,10,0.000000,0.5903,0.9001
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,11,0.000000,0.5985,0.8900
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,12,0.000000,0.6072,0.8800
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,13,0.000000,0.6160,0.8701
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,14,0.000000,0.6217,0.8600
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,15,0.000000,0.6286,0.8499
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,16,0.000000,0.6349,0.8401
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,17,0.000000,0.6414,0.8300
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,18,0.000000,0.6492,0.8199
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,19,0.000000,0.6588,0.8101
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,20,0.000001,0.6654,0.8000
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,21,0.000001,0.6704,0.7901
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,22,0.000001,0.6786,0.7801
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,23,0.000001,0.6843,0.7700
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,24,0.000002,0.6881,0.7601
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,25,0.000002,0.6963,0.7501
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,26,0.000003,0.7003,0.7400
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,27,0.000004,0.7061,0.7301
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,28,0.000006,0.7089,0.7200
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,29,0.000008,0.7167,0.7100
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,30,0.000010,0.7221,0.7001
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,31,0.000017,0.7274,0.6900
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,32,0.000021,0.7324,0.6802
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,33,0.000035,0.7377,0.6701
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,34,0.000045,0.7421,0.6600
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,35,0.000058,0.7446,0.6502
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,36,0.000096,0.7499,0.6401
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,37,0.000158,0.7539,0.6300
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,38,0.000203,0.7560,0.6201
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,39,0.000335,0.7587,0.6101
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,40,0.000710,0.7602,0.6000
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,41,0.001170,0.7614,0.5901
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,42,0.001501,0.7654,0.5801
