dataset,assessor,target,bin_lo,bin_hi,count,frac
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.00,0.05,2383,0.5001
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.05,0.10,64,0.0134
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.10,0.15,58,0.0122
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.15,0.20,24,0.0050
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.20,0.25,32,0.0067
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.25,0.30,30,0.0063
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.30,0.35,18,0.0038
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.35,0.40,28,0.0059
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.40,0.45,23,0.0048
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.45,0.50,35,0.0073
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.50,0.55,0,0.0000
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.55,0.60,26,0.0055
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.60,0.65,31,0.0065
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.65,0.70,31,0.0065
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.70,0.75,19,0.0040
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.75,0.80,24,0.0050
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.80,0.85,26,0.0055
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.85,0.90,60,0.0126
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.90,0.95,76,0.0159
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.95,1.00,1777,0.3729
