dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4765,140,5,0.5108,0.7619,0.7278,0.7428,0.7616,0.7561,0.7600,0.9859,34.4846
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,6482,140,5,0.7546,0.7272,0.7598,0.7590,0.7600,0.7249,0.7595,0.9859,42.1817
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6604,140,5,0.7816,0.6650,0.6916,0.7214,0.7374,0.6637,0.7188,0.9399,42.7337
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,3197,140,5,0.3819,0.6489,0.5998,0.6614,0.7082,0.6449,0.6685,0.9914,34.9472
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,3304,120,5,0.3308,0.7154,0.6514,0.7040,0.7449,0.7113,0.7136,0.9933,35.5342
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6790,140,5,0.8863,0.7067,0.7306,0.7622,0.7863,0.7031,0.7517,0.9047,43.3106
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4765,140,5,0.5108,0.5107,0.6207,0.6082,0.6166,0.6161,0.5998,0.0006,42.2262
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,6482,140,5,0.7546,0.5051,0.5823,0.5830,0.5814,0.5772,0.5777,0.0006,44.9351
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6604,140,5,0.7816,0.5001,0.5712,0.5623,0.5512,0.5654,0.5600,0.0006,48.6551
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,3197,140,5,0.3819,0.4994,0.5436,0.5376,0.5426,0.5496,0.5419,0.0017,48.9819
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,3304,120,5,0.3308,0.4991,0.5440,0.5358,0.5268,0.5426,0.5354,0.0006,43.1317
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6790,140,5,0.8863,0.5163,0.6658,0.6311,0.6689,0.6646,0.6435,0.0006,51.1293
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4765,140,5,0.5108,0.5266,0.5353,0.5279,0.5181,0.5233,0.5279,0.3775,59.2372
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,6482,140,5,0.7546,0.4781,0.4804,0.4761,0.5033,0.4710,0.4768,0.2227,42.8913
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,6604,140,5,0.7816,0.4796,0.4771,0.4770,0.4975,0.4737,0.4777,0.3775,56.9973
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,3197,140,5,0.3819,0.4959,0.4502,0.4842,0.4996,0.4812,0.4499,0.0759,14.2745
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,3304,120,5,0.3308,0.4829,0.4945,0.4988,0.4868,0.4864,0.4883,0.0953,21.3521
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,6790,140,5,0.8863,0.5094,0.5148,0.5038,0.5232,0.5149,0.5187,0.4378,64.4875
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,no,4113,140,0,0.5295,0.5809,,,0.5849,,,,
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,no,4265,140,0,0.4605,0.5688,,,0.6304,,,,
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4765,140,5,0.5108,0.7440,0.8164,0.7790,0.8230,0.7935,0.7768,0.8097,36.7631
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,6482,140,5,0.7546,0.6860,0.7779,0.7724,0.7798,0.7485,0.7730,0.7966,40.6772
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,6604,140,5,0.7816,0.6356,0.7277,0.7265,0.7484,0.6926,0.7242,0.7698,40.6023
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,3197,140,5,0.3819,0.6284,0.5618,0.6465,0.6637,0.5721,0.6479,0.8295,35.3158
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,3304,120,5,0.3308,0.7971,0.7029,0.7106,0.7716,0.7686,0.7020,0.8295,35.8718
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6790,140,5,0.8863,0.6946,0.7949,0.7799,0.8114,0.7533,0.7879,0.7966,44.4440
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2322,90,0,0.2976,0.6717,,,0.6909,,,,
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4765,140,5,0.5108,0.4738,0.5455,0.5478,0.5356,0.5493,0.5482,0.0000,20.1198
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,6482,140,5,0.7546,0.4229,0.5468,0.5074,0.5486,0.5494,0.5243,0.0000,23.0251
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,6604,140,5,0.7816,0.4429,0.5436,0.5141,0.5437,0.5423,0.5256,0.0000,23.0418
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,3197,140,5,0.3819,0.5012,0.5634,0.5737,0.5791,0.5687,0.5672,0.0000,17.7169
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,3304,120,5,0.3308,0.4885,0.5357,0.5263,0.5123,0.5363,0.5295,0.0000,18.6077
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6790,140,5,0.8863,0.4200,0.5785,0.5662,0.5813,0.5913,0.5737,0.0000,21.8175
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,2530,500,4,0.2091,0.6913,0.7145,0.7593,0.7615,0.6899,0.7639,0.0953,50.4814
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,3224,500,4,0.5416,0.7693,0.7569,0.7533,0.7718,0.7680,0.7646,0.0230,60.8617
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,2716,500,4,0.5567,0.8264,0.8216,0.8064,0.8229,0.8251,0.8271,0.0230,57.9393
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,2192,500,4,0.1533,0.6190,0.6418,0.7485,0.7577,0.6139,0.7485,0.0953,49.2252
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,2565,500,4,0.4717,0.8332,0.8306,0.8255,0.8307,0.8332,0.8304,0.0230,55.6368
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,2530,500,4,0.2091,0.5000,0.6356,0.6420,0.6411,0.6273,0.6416,0.0000,40.2356
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,3224,500,4,0.5416,0.5017,0.6347,0.6218,0.6349,0.6361,0.6229,0.0000,45.2064
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,2716,500,4,0.5567,0.5068,0.6409,0.6349,0.6326,0.6406,0.6345,0.0000,44.3916
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,2192,500,4,0.1533,0.5000,0.7070,0.6706,0.7005,0.7004,0.6622,0.0000,39.0122
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,2565,500,4,0.4717,0.5000,0.6591,0.6618,0.6545,0.6590,0.6613,0.0000,43.6503
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,2530,500,4,0.2091,0.5644,0.6506,0.6483,0.6476,0.6379,0.6400,0.0953,59.3718
