variant,judge,dataset,target,construct,n_scores,mean_u,slope,intercept,reference_targets,pi_hat,cut,ba_hat,ba_lo,ba_hi,extrapolation
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0
