dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,5,4765,238,0.5108,0.9370,1.8343,0.0916
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,10,4765,476,0.5108,0.9307,1.8220,0.1820
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,20,4765,953,0.5108,0.9234,1.8077,0.3615
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,30,4765,1430,0.5108,0.9105,1.7824,0.5349
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,5,4765,238,0.5108,0.9790,1.9166,0.0957
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,10,4765,476,0.5108,0.9706,1.9001,0.1898
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,20,4765,953,0.5108,0.9538,1.8673,0.3735
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,30,4765,1430,0.5108,0.9371,1.8345,0.5505
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,5,4765,238,0.5108,0.7815,1.5300,0.0764
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,10,4765,476,0.5108,0.7836,1.5341,0.1532
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,20,4765,953,0.5108,0.7597,1.4873,0.2975
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,30,4765,1430,0.5108,0.7448,1.4580,0.4376
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,5,4765,238,0.5108,0.5840,1.1434,0.0571
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,10,4765,476,0.5108,0.5630,1.1022,0.1101
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,20,4765,953,0.5108,0.5939,1.1627,0.2325
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,30,4765,1430,0.5108,0.5839,1.1431,0.3431
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,5,4765,238,0.5108,0.4286,0.8390,0.0419
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,10,4765,476,0.5108,0.4790,0.9377,0.0937
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,20,4765,953,0.5108,0.4984,0.9758,0.1952
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,30,4765,1430,0.5108,0.5266,1.0309,0.3094
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,5,6482,324,0.7546,0.8457,1.1208,0.0560
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,10,6482,648,0.7546,0.8580,1.1371,0.1137
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,20,6482,1296,0.7546,0.8410,1.1146,0.2229
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,30,6482,1945,0.7546,0.8339,1.1052,0.3316
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,5,6482,345,0.7546,0.9768,1.2946,0.0689
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,10,6482,652,0.7546,0.9739,1.2907,0.1298
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,20,6482,1305,0.7546,0.9648,1.2786,0.2574
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,30,6482,1946,0.7546,0.9553,1.2660,0.3801
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,5,6482,324,0.7546,0.9877,1.3089,0.0654
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,10,6482,648,0.7546,0.9769,1.2946,0.1294
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,20,6482,1296,0.7546,0.9699,1.2854,0.2570
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,30,6482,1945,0.7546,0.9625,1.2756,0.3827
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,5,6482,324,0.7546,0.7994,1.0594,0.0530
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,10,6482,648,0.7546,0.7670,1.0165,0.1016
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,20,6482,1296,0.7546,0.7500,0.9940,0.1987
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,30,6482,1945,0.7546,0.7573,1.0037,0.3012
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,5,6482,324,0.7546,0.6420,0.8508,0.0425
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,10,6482,648,0.7546,0.6775,0.8978,0.0898
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,20,6482,1296,0.7546,0.7307,0.9684,0.1936
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,30,6482,1945,0.7546,0.7414,0.9826,0.2948
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5,6604,330,0.7816,0.7576,0.9692,0.0484
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,10,6604,660,0.7816,0.7621,0.9750,0.0974
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,20,6604,1321,0.7816,0.7517,0.9617,0.1924
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,30,6604,1981,0.7816,0.7577,0.9694,0.2908
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5,6604,333,0.7816,0.9550,1.2217,0.0616
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,10,6604,682,0.7816,0.9545,1.2212,0.1261
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,20,6604,1334,0.7816,0.9520,1.2180,0.2460
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,30,6604,1990,0.7816,0.9523,1.2183,0.3671
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5,6604,330,0.7816,0.7939,1.0157,0.0508
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,10,6604,660,0.7816,0.8136,1.0409,0.1040
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,20,6604,1321,0.7816,0.8266,1.0576,0.2115
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,30,6604,1981,0.7816,0.8314,1.0636,0.3191
