dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,2434,2331,0.4485,0.0410,0.4075,0.2492,0.4156,0.0000,0.8235
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,2434,2331,0.8629,0.4238,0.4390,0.6481,0.3288,0.7462,0.8355
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,2434,2331,0.4341,0.3529,0.0812,0.3944,0.3357,0.3208,0.5639
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,2434,2331,0.0990,0.0309,0.0680,0.0657,0.1847,0.0002,0.6728
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,2434,2331,0.1743,0.1883,-0.0140,0.1812,0.3736,0.0000,0.5533
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,4891,1591,0.0576,0.0315,0.0261,0.0512,0.1646,0.0001,0.5803
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,4891,1591,0.8892,0.5317,0.3575,0.8015,0.2494,0.7893,0.7968
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,4891,1591,0.3881,0.3935,-0.0054,0.3894,0.3462,0.0230,0.5164
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,4891,1591,0.7454,0.1666,0.5788,0.6034,0.4704,0.0009,0.8095
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,4891,1591,0.2529,0.2805,-0.0276,0.2597,0.4272,0.0000,0.5726
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5162,1442,0.3439,0.3758,-0.0319,0.3509,0.3482,0.0086,0.5137
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5162,1442,0.9378,0.6436,0.2943,0.8736,0.2170,0.9170,0.7531
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5162,1442,0.1071,0.0865,0.0206,0.1026,0.2349,0.0001,0.5829
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5162,1442,0.8584,0.3482,0.5102,0.7470,0.4195,0.9627,0.7591
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,5162,1442,0.2634,0.3370,-0.0735,0.2795,0.4391,0.0000,0.5749
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,2178,1935,0.2755,0.1792,0.0963,0.2302,0.2082,0.1644,0.6177
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,1964,2301,0.1923,0.0708,0.1214,0.1268,0.1876,0.0474,0.6691
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,1221,1976,0.4890,0.2811,0.2078,0.3605,0.2915,0.4073,0.6496
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,1221,1976,0.1228,0.0839,0.0389,0.0988,0.1652,0.0230,0.5552
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,1221,1976,0.0352,0.0051,0.0300,0.0166,0.1062,0.0001,0.5876
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,1221,1976,0.1773,0.0160,0.1613,0.0776,0.2558,0.0000,0.7532
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,1221,1976,0.0664,0.0230,0.0434,0.0396,0.1910,0.0000,0.6036
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,1093,2211,0.4127,0.2182,0.1946,0.2825,0.3395,0.0373,0.6784
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,1093,2211,0.2056,0.1733,0.0323,0.1840,0.2098,0.0067,0.5432
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,1093,2211,0.0193,0.0096,0.0097,0.0128,0.0665,0.0000,0.5960
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,1093,2211,0.0334,0.0278,0.0056,0.0296,0.1628,0.0000,0.5441
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,1093,2211,0.7183,0.3247,0.3936,0.4549,0.3131,0.6107,0.7899
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,1093,2211,0.2474,0.0110,0.2363,0.0892,0.2706,0.0000,0.7860
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,6018,772,0.1071,0.1591,-0.0521,0.1130,0.3048,0.0000,0.6686
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,6018,772,0.9370,0.5224,0.4147,0.8899,0.1987,0.8729,0.8421
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,6018,772,0.3107,0.2245,0.0862,0.3009,0.2885,0.0953,0.6009
