dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,5,4492,225,0.5309,0.9511,1.7914,0.0897
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,10,4492,449,0.5309,0.9399,1.7702,0.1769
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,20,4492,898,0.5309,0.9343,1.7597,0.3518
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,30,4492,1348,0.5309,0.9206,1.7339,0.5203
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,5,4492,225,0.5309,0.4400,0.8287,0.0415
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,10,4492,449,0.5309,0.4944,0.9312,0.0931
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,20,4492,898,0.5309,0.5200,0.9795,0.1958
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,30,4492,1348,0.5309,0.5460,1.0283,0.3086
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,5,4492,225,0.5309,0.6044,1.1384,0.0570
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,10,4492,449,0.5309,0.5835,1.0990,0.1099
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,20,4492,898,0.5309,0.6192,1.1661,0.2331
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,30,4492,1348,0.5309,0.6083,1.1457,0.3438
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,5,4492,225,0.5309,0.7911,1.4900,0.0746
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,10,4492,449,0.5309,0.7951,1.4975,0.1497
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,20,4492,898,0.5309,0.7773,1.4640,0.2927
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,30,4492,1348,0.5309,0.7619,1.4349,0.4306
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,5,4492,225,0.5309,0.9778,1.8416,0.0922
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,10,4492,449,0.5309,0.9688,1.8247,0.1824
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,20,4492,898,0.5309,0.9555,1.7995,0.3597
