dataset,target,assessor,arm,n,inc_med,inc_mean,inc_q25,inc_q75,cor_med,cut_pctile
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,4492,71.165,68.427,54.554,85.794,25.740,54.000
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,4492,54.130,52.597,29.971,75.017,44.311,58.000
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,4492,55.845,54.041,29.748,78.023,43.843,48.000
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,4492,64.395,60.798,41.216,82.855,33.712,51.000
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,4492,71.922,68.697,55.778,86.195,26.297,48.000
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,6321,53.703,52.693,27.975,77.532,38.212,55.000
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,6321,50.886,51.059,27.880,74.193,44.747,85.000
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,6321,49.794,50.165,25.491,74.778,50.522,87.000
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,6321,59.889,58.785,38.560,80.229,14.035,73.000
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,6321,59.937,58.541,38.165,80.269,15.095,69.000
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,6445,49.441,49.833,25.341,74.488,53.166,86.000
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,6445,50.621,50.609,27.824,73.371,44.615,85.000
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,6445,53.073,52.316,28.616,76.397,37.228,67.000
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,6445,58.395,57.022,35.382,79.446,14.789,71.000
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,6445,58.101,56.892,35.382,79.438,14.587,69.000
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,3981,60.377,57.393,35.352,80.804,37.839,68.000
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,4024,66.145,61.520,40.741,84.713,36.590,47.000
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,3110,66.645,62.552,40.560,86.008,40.045,39.000
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,3110,61.660,58.697,36.668,83.242,41.911,53.000
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,3110,76.359,70.492,55.934,88.903,34.159,45.000
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,3110,55.420,54.734,31.328,80.380,46.510,60.000
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,3110,59.633,58.554,35.027,84.529,43.454,29.000
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,3016,66.136,64.280,47.927,82.687,37.247,62.000
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,3016,79.536,73.141,62.720,90.746,35.920,38.000
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,3016,56.816,53.960,30.779,78.408,47.065,43.000
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,3016,61.824,59.441,37.413,83.483,43.483,73.000
