dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,2385,2107,0.4522,0.0403,0.4118,0.2590,0.4205,0.0000,0.8280
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,2385,2107,0.0978,0.0308,0.0670,0.0664,0.1849,0.0002,0.6779
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,2385,2107,0.1733,0.1877,-0.0144,0.1801,0.3726,0.0000,0.5571
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,2385,2107,0.8623,0.4207,0.4416,0.6552,0.3290,0.7941,0.8361
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,2385,2107,0.4333,0.3470,0.0863,0.3928,0.3354,0.3208,0.5668
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,4849,1472,0.0576,0.0310,0.0265,0.0514,0.1650,0.0001,0.5842
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,4849,1472,0.8894,0.5333,0.3561,0.8065,0.2460,0.7893,0.7961
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,4849,1472,0.2534,0.2831,-0.0298,0.2603,0.4276,0.0000,0.5786
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,4849,1472,0.7478,0.1673,0.5805,0.6126,0.4681,0.0009,0.8101
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,4849,1472,0.3886,0.3939,-0.0053,0.3898,0.3468,0.0230,0.5192
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5086,1359,0.3444,0.3673,-0.0229,0.3493,0.3478,0.0230,0.5173
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5086,1359,0.1071,0.0869,0.0202,0.1028,0.2354,0.0001,0.5893
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,5086,1359,0.2632,0.3374,-0.0742,0.2789,0.4388,0.0000,0.5803
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5086,1359,0.9380,0.6411,0.2969,0.8754,0.2160,0.9087,0.7521
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5086,1359,0.8592,0.3499,0.5093,0.7518,0.4167,0.9627,0.7581
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,2158,1823,0.2752,0.1793,0.0959,0.2313,0.2086,0.0953,0.6182
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,1908,2116,0.1916,0.0718,0.1198,0.1286,0.1889,0.0534,0.6671
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,1201,1909,0.4889,0.2818,0.2071,0.3617,0.2917,0.4073,0.6497
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,1201,1909,0.0346,0.0050,0.0296,0.0164,0.1056,0.0001,0.5917
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,1201,1909,0.0667,0.0233,0.0434,0.0401,0.1920,0.0000,0.6078
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,1201,1909,0.1794,0.0160,0.1634,0.0791,0.2580,0.0000,0.7548
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,1201,1909,0.1228,0.0835,0.0393,0.0987,0.1645,0.0180,0.5563
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,1050,1966,0.4149,0.2172,0.1976,0.2860,0.3404,0.0293,0.6848
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,1050,1966,0.0317,0.0293,0.0024,0.0301,0.1647,0.0000,0.5524
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,1050,1966,0.7182,0.3223,0.3959,0.4601,0.3163,0.6193,0.7895
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,1050,1966,0.2037,0.1709,0.0328,0.1823,0.2110,0.0067,0.5452
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,1050,1966,0.0191,0.0103,0.0088,0.0134,0.0690,0.0000,0.6048
