dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,5,4765,238,0.8262,0.9034,1.0933,0.0546
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,10,4765,476,0.8262,0.9181,1.1111,0.1110
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,20,4765,953,0.8262,0.9265,1.1214,0.2243
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,30,4765,1430,0.8262,0.9294,1.1248,0.3376
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,5,4765,238,0.8262,0.8445,1.0222,0.0511
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,10,4765,476,0.8262,0.8739,1.0578,0.1057
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,20,4765,953,0.8262,0.8772,1.0617,0.2123
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,30,4765,1430,0.8262,0.8825,1.0681,0.3205
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,5,4765,238,0.8262,0.8487,1.0272,0.0513
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,10,4765,476,0.8262,0.8424,1.0196,0.1019
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,20,4765,953,0.8262,0.8583,1.0389,0.2078
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,30,4765,1430,0.8262,0.8566,1.0368,0.3112
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,5,4765,238,0.8262,0.8571,1.0374,0.0518
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,10,4765,476,0.8262,0.8445,1.0222,0.1021
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,20,4765,953,0.8262,0.8437,1.0211,0.2042
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,30,4765,1430,0.8262,0.8643,1.0461,0.3139
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,5,4765,238,0.8262,0.9622,1.1645,0.0582
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,10,4765,476,0.8262,0.9349,1.1315,0.1130
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,20,4765,953,0.8262,0.9391,1.1367,0.2273
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,30,4765,1430,0.8262,0.9406,1.1384,0.3416
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,5,6482,324,0.9392,0.9691,1.0319,0.0516
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,10,6482,648,0.9392,0.9630,1.0253,0.1025
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,20,6482,1296,0.9392,0.9606,1.0228,0.2045
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,30,6482,1945,0.9392,0.9578,1.0198,0.3060
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,5,6482,324,0.9392,0.9568,1.0187,0.0509
