dataset,target,assessor,arm,n,inc_med,inc_mean,inc_q25,inc_q75,cor_med,cut_pctile
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,4765,54.870,53.323,29.366,77.687,29.240,44.000
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,4765,52.939,52.377,28.401,76.469,33.753,62.000
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,4765,52.498,52.228,28.799,75.966,33.207,81.000
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,4765,52.225,51.588,27.519,75.840,37.657,64.000
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,4765,55.101,53.800,29.870,78.044,26.490,52.000
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,6482,50.625,50.595,25.752,75.559,36.723,64.000
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,6482,50.779,50.591,25.721,75.467,37.155,66.000
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,6482,50.548,50.408,25.814,75.081,39.932,79.000
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,6482,52.137,51.684,27.758,76.099,14.489,71.000
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,6482,52.245,51.676,27.773,76.192,15.260,77.000
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,6604,50.522,50.386,25.700,75.269,40.497,68.000
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,6604,50.189,50.273,25.504,75.072,47.796,91.000
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,6604,50.114,50.093,25.504,74.618,47.796,88.000
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,6604,51.249,50.961,26.594,75.451,27.669,79.000
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,6604,51.174,50.924,26.503,75.526,29.002,76.000
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,3241,57.932,56.802,35.000,79.660,22.932,73.000
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,4113,53.332,52.714,28.915,76.970,30.593,79.000
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,4265,53.940,53.232,29.902,76.759,29.386,81.000
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,3197,56.164,55.354,32.854,78.473,24.875,75.000
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,3197,54.693,53.955,31.133,77.628,31.696,62.000
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,3197,56.727,55.058,32.572,78.849,27.190,64.000
