dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,3937,828,0.2799,0.1029,0.1770,0.2492,0.4156,0.0000,0.6438
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,3937,828,0.1847,0.1643,0.0204,0.1812,0.3736,0.0000,0.5823
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,3937,828,0.0681,0.0539,0.0142,0.0657,0.1847,0.0000,0.6109
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,3937,828,0.6932,0.4336,0.2596,0.6481,0.3288,0.7309,0.6530
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,3937,828,0.4130,0.3059,0.1071,0.3944,0.3357,0.0601,0.6256
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,6088,394,0.0525,0.0307,0.0218,0.0512,0.1646,0.0000,0.5757
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,6088,394,0.2601,0.2524,0.0077,0.2597,0.4272,0.0000,0.5726
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,6088,394,0.6283,0.2184,0.4099,0.6034,0.4704,0.0000,0.7312
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,6088,394,0.8203,0.5101,0.3102,0.8015,0.2494,0.7548,0.7344
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,6088,394,0.3952,0.2996,0.0956,0.3894,0.3462,0.1192,0.5728
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,6172,432,0.3537,0.3107,0.0430,0.3509,0.3482,0.0601,0.5586
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,6172,432,0.7623,0.5284,0.2339,0.7470,0.4195,0.2689,0.6206
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,6172,432,0.2758,0.3317,-0.0559,0.2795,0.4391,0.0000,0.5605
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,6172,432,0.1021,0.1101,-0.0080,0.1026,0.2349,0.0000,0.5579
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,6172,432,0.8849,0.7119,0.1730,0.8736,0.2170,0.8115,0.6302
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,2391,850,0.1612,0.0559,0.1053,0.1335,0.1994,0.0124,0.6957
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,3415,698,0.2440,0.1625,0.0816,0.2302,0.2082,0.0601,0.6283
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,3439,826,0.1357,0.0896,0.0461,0.1268,0.1876,0.0124,0.6346
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,2398,799,0.4070,0.2210,0.1860,0.3605,0.2915,0.0972,0.6682
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,2398,799,0.0953,0.0244,0.0710,0.0776,0.2558,0.0000,0.6407
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,2398,799,0.0434,0.0281,0.0153,0.0396,0.1910,0.0000,0.5773
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,2398,799,0.0197,0.0075,0.0122,0.0166,0.1062,0.0000,0.6290
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,2398,799,0.1125,0.0574,0.0551,0.0988,0.1652,0.0180,0.6598
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,2499,805,0.3185,0.1708,0.1477,0.2825,0.3395,0.0953,0.6250
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,2499,805,0.1112,0.0208,0.0904,0.0892,0.2706,0.0000,0.6211
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,2499,805,0.0135,0.0105,0.0031,0.0128,0.0665,0.0000,0.6015
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,2499,805,0.2031,0.1248,0.0783,0.1840,0.2098,0.0293,0.6363
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,2499,805,0.0298,0.0292,0.0005,0.0296,0.1628,0.0000,0.5544
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,2499,805,0.5088,0.2878,0.2210,0.4549,0.3131,0.2251,0.6523
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,6545,245,0.1091,0.2152,-0.1061,0.1130,0.3048,0.0000,0.6321
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,6545,245,0.0759,0.1282,-0.0522,0.0778,0.1915,0.0000,0.6435
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,6545,245,0.8587,0.4992,0.3596,0.8458,0.3486,0.9770,0.6870
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,6545,245,0.9002,0.6146,0.2856,0.8899,0.1987,0.8566,0.7111
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,6545,245,0.3030,0.2432,0.0598,0.3009,0.2885,0.0953,0.6013
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,981,1549,0.1165,0.0312,0.0853,0.0643,0.2300,0.0000,0.7003
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,981,1549,0.0846,0.0472,0.0374,0.0617,0.2318,0.0000,0.6175
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,981,1549,0.0193,0.0169,0.0025,0.0178,0.0963,0.0000,0.6170
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,981,1549,0.5485,0.2672,0.2813,0.3762,0.3410,0.3980,0.6925
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,981,1549,0.3197,0.1794,0.1403,0.2338,0.2743,0.1480,0.6430
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,2343,881,0.0364,0.0223,0.0142,0.0326,0.1329,0.0000,0.6520
