dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,5,4492,225,0.8764,0.9244,1.0548,0.0528
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,10,4492,449,0.8764,0.9399,1.0724,0.1072
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,20,4492,898,0.8764,0.9465,1.0800,0.2159
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,30,4492,1348,0.8764,0.9473,1.0809,0.3244
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,5,4492,225,0.8764,0.9067,1.0345,0.0518
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,10,4492,449,0.8764,0.9020,1.0292,0.1029
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,20,4492,898,0.8764,0.9120,1.0406,0.2080
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,30,4492,1348,0.8764,0.9184,1.0479,0.3145
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,5,4492,225,0.8764,0.9111,1.0396,0.0521
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,10,4492,449,0.8764,0.8998,1.0266,0.1026
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,20,4492,898,0.8764,0.8976,1.0241,0.2047
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,30,4492,1348,0.8764,0.9139,1.0428,0.3129
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,5,4492,225,0.8764,0.9689,1.1055,0.0554
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,10,4492,449,0.8764,0.9555,1.0901,0.1090
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,20,4492,898,0.8764,0.9577,1.0927,0.2184
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,30,4492,1348,0.8764,0.9599,1.0953,0.3287
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,5,4492,225,0.8764,0.8889,1.0142,0.0508
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,10,4492,449,0.8764,0.9154,1.0444,0.1044
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,20,4492,898,0.8764,0.9165,1.0457,0.2090
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,30,4492,1348,0.8764,0.9214,1.0513,0.3155
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,5,6321,316,0.9631,0.9873,1.0251,0.0512
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,10,6321,632,0.9631,0.9826,1.0202,0.1020
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,20,6321,1264,0.9631,0.9842,1.0218,0.2043
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,30,6321,1896,0.9631,0.9815,1.0191,0.3057
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,5,6321,316,0.9631,0.9715,1.0087,0.0504
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,10,6321,632,0.9631,0.9715,1.0087,0.1009
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,20,6321,1264,0.9631,0.9747,1.0120,0.2024
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,30,6321,1896,0.9631,0.9773,1.0147,0.3044
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,5,6321,316,0.9631,0.9620,0.9988,0.0499
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,10,6321,632,0.9631,0.9525,0.9890,0.0989
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,20,6321,1264,0.9631,0.9620,0.9988,0.1997
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,30,6321,1896,0.9631,0.9636,1.0005,0.3001
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,5,6321,316,0.9631,0.9968,1.0350,0.0517
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,10,6321,632,0.9631,0.9937,1.0317,0.1032
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,20,6321,1264,0.9631,0.9945,1.0325,0.2065
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,30,6321,1896,0.9631,0.9926,1.0306,0.3091
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,5,6321,341,0.9631,0.9883,1.0261,0.0554
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,10,6321,647,0.9631,0.9907,1.0286,0.1053
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,20,6321,1267,0.9631,0.9905,1.0284,0.2061
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,30,6321,1897,0.9631,0.9884,1.0262,0.3080
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5,6445,322,0.9576,0.9503,0.9923,0.0496
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,10,6445,644,0.9576,0.9565,0.9988,0.0998
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,20,6445,1289,0.9576,0.9666,1.0094,0.2019
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,30,6445,1934,0.9576,0.9726,1.0156,0.3048
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5,6445,322,0.9576,0.9317,0.9729,0.0486
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,10,6445,644,0.9576,0.9488,0.9907,0.0990
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,20,6445,1289,0.9576,0.9597,1.0021,0.2004
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,30,6445,1934,0.9576,0.9654,1.0081,0.3025
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,5,6445,322,0.9576,0.9286,0.9696,0.0484
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,10,6445,644,0.9576,0.9270,0.9680,0.0967
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,20,6445,1289,0.9576,0.9372,0.9786,0.1957
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,30,6445,1934,0.9576,0.9493,0.9913,0.2975
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5,6445,322,0.9576,0.9689,1.0118,0.0506
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,10,6445,644,0.9576,0.9643,1.0069,0.1006
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,20,6445,1289,0.9576,0.9651,1.0078,0.2016
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,30,6445,1934,0.9576,0.9669,1.0097,0.3030
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5,6445,329,0.9576,0.9574,0.9998,0.0510
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,10,6445,644,0.9576,0.9596,1.0021,0.1001
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,20,6445,1295,0.9576,0.9691,1.0120,0.2033
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,30,6445,1947,0.9576,0.9692,1.0121,0.3057
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,5,3032,152,0.7886,0.9276,1.1763,0.0590
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,10,3032,303,0.7886,0.9307,1.1802,0.1179
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,20,3032,606,0.7886,0.9340,1.1844,0.2367
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,30,3032,910,0.7886,0.9253,1.1733,0.3522
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,5,3981,199,0.8578,0.8995,1.0486,0.0524
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,10,3981,398,0.8578,0.9070,1.0574,0.1057
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,20,3981,796,0.8578,0.9183,1.0705,0.2141
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,30,3981,1194,0.8578,0.9188,1.0710,0.3212
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,5,4024,201,0.8546,0.8756,1.0246,0.0512
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,10,4024,402,0.8546,0.8980,1.0508,0.1050
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,20,4024,805,0.8546,0.8981,1.0509,0.2102
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,30,4024,1207,0.8546,0.9072,1.0615,0.3184
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,5,3110,156,0.7711,0.9423,1.2221,0.0613
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,10,3110,311,0.7711,0.9228,1.1968,0.1197
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,20,3110,622,0.7711,0.8907,1.1551,0.2310
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,30,3110,933,0.7711,0.8875,1.1510,0.3453
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,5,3110,156,0.7711,0.8782,1.1390,0.0571
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,10,3110,311,0.7711,0.8939,1.1593,0.1159
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,20,3110,622,0.7711,0.9084,1.1781,0.2356
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,30,3110,933,0.7711,0.8982,1.1649,0.3495
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,5,3110,156,0.7711,0.8269,1.0724,0.0538
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,10,3110,311,0.7711,0.8135,1.0550,0.1055
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,20,3110,622,0.7711,0.8215,1.0655,0.2131
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,30,3110,933,0.7711,0.8296,1.0759,0.3228
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,5,3110,156,0.7711,0.9231,1.1972,0.0601
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,10,3110,311,0.7711,0.9325,1.2093,0.1209
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,20,3110,622,0.7711,0.9164,1.1885,0.2377
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,30,3110,933,0.7711,0.8885,1.1523,0.3457
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,5,3110,156,0.7711,0.9231,1.1972,0.0601
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,10,3110,311,0.7711,0.8971,1.1635,0.1163
