dataset,target,assessor,arm,n,inc_med,inc_mean,inc_q25,inc_q75,cor_med,cut_pctile
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,4492,53.418,52.715,28.991,76.820,22.066,68.000
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,4492,52.594,52.369,29.058,75.974,17.324,82.000
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,4492,52.149,51.631,27.744,75.818,30.706,64.000
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,4492,53.841,53.053,29.169,77.177,18.392,80.000
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,4492,52.639,52.307,28.813,76.175,21.755,77.000
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,6321,50.649,50.628,25.949,75.522,25.870,72.000
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,6321,50.744,50.587,25.918,75.364,25.934,67.000
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,6321,50.427,50.350,25.775,75.016,32.896,80.000
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,6321,51.408,51.171,26.915,75.791,11.598,74.000
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,6321,51.345,51.079,26.804,75.696,11.218,74.000
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,6445,50.714,50.496,25.822,75.388,31.425,67.000
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,6445,50.481,50.410,25.714,75.140,34.947,91.000
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,6445,50.233,50.163,25.574,74.674,38.299,87.000
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,6445,50.838,50.675,26.164,75.186,22.564,81.000
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,6445,50.714,50.601,26.024,75.310,27.142,83.000
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,3032,57.110,56.146,34.246,78.852,15.968,74.000
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,3981,52.965,52.560,28.794,76.734,26.106,79.000
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,4024,53.194,52.835,29.580,76.386,21.501,85.000
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,3110,55.999,55.219,32.679,78.353,23.094,75.000
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,3110,56.674,55.016,32.615,78.803,25.185,65.000
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,3110,53.458,52.276,28.401,76.584,38.823,52.000
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,3110,55.677,54.539,31.682,78.932,27.694,63.000
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,3110,55.002,54.182,31.361,77.839,28.241,62.000
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,3016,54.992,53.943,30.779,77.811,22.222,73.000
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,3016,53.433,53.229,30.614,76.816,22.786,74.000
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,3016,53.035,52.159,28.126,76.882,35.556,51.000
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,3016,54.793,53.902,30.746,77.977,23.018,66.000
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,3016,55.423,54.468,31.874,77.944,17.910,73.000
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,3016,55.257,54.759,32.040,78.275,16.915,76.000
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,6730,50.364,50.308,25.814,74.855,19.082,86.000
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,6730,50.483,50.372,25.695,75.182,25.531,72.000
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,6730,50.884,50.769,26.230,75.464,10.284,78.000
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,6730,50.602,50.542,25.962,74.855,13.583,86.000
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,6730,50.513,50.436,25.888,75.093,18.576,89.000
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,1163,55.594,54.008,32.186,78.141,21.773,63.000
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,1163,56.713,55.302,33.305,78.399,14.544,73.000
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,1163,43.460,45.952,21.170,69.535,74.355,1.000
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,1163,56.799,55.547,33.993,78.830,16.351,70.000
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,1163,56.024,54.593,33.563,77.797,17.040,66.000
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,2375,50.632,50.524,25.821,75.316,6.276,87.000
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,2375,50.548,50.524,25.821,75.316,2.906,92.000
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,2375,49.579,49.665,24.726,74.516,84.288,99.000
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,2375,50.674,50.629,25.948,75.358,2.359,89.000
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,2375,50.674,50.608,25.990,75.358,4.423,80.000
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,1885,50.584,50.414,25.531,75.318,12.951,58.000
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,1885,50.425,50.305,25.531,75.106,19.002,61.000
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,1885,49.416,49.594,24.575,74.469,84.289,2.000
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,1885,50.743,50.654,26.062,75.425,6.157,76.000
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,1885,50.690,50.546,25.849,75.451,8.227,73.000
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,1375,54.949,54.047,31.659,77.875,13.901,71.000
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,1309,56.346,54.569,32.034,78.364,17.661,63.000
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,1114,58.940,57.134,36.658,79.874,16.352,62.000
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,1114,59.569,57.751,38.185,79.964,16.442,66.000
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,1114,40.970,43.841,20.305,65.678,78.796,1.000
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,1114,58.580,55.686,34.052,79.425,21.384,58.000
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,1114,59.479,57.126,37.287,79.784,18.509,60.000
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,1658,48.461,48.907,23.838,73.627,68.075,1.000
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,1658,52.806,52.416,29.028,76.343,7.725,74.000
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,1658,53.168,52.675,29.330,76.584,7.182,82.000
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,1658,52.505,52.103,28.666,76.373,10.682,77.000
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,1658,52.927,52.298,28.847,76.463,11.165,74.000
