dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,3937,555,0.2799,0.1108,0.1692,0.2590,0.4205,0.0000,0.6680
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,3937,555,0.1847,0.1470,0.0377,0.1801,0.3726,0.0000,0.6142
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,3937,555,0.4130,0.2495,0.1635,0.3928,0.3354,0.0474,0.6887
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,3937,555,0.6932,0.3855,0.3076,0.6552,0.3290,0.2772,0.6844
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,3937,555,0.0681,0.0536,0.0145,0.0664,0.1849,0.0000,0.6620
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,6088,233,0.0525,0.0219,0.0306,0.0514,0.1650,0.0000,0.6352
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,6088,233,0.2601,0.2649,-0.0047,0.2603,0.4276,0.0000,0.6178
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,6088,233,0.3952,0.2480,0.1473,0.3898,0.3468,0.1192,0.6350
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,6088,233,0.8203,0.4452,0.3751,0.8065,0.2460,0.7309,0.7633
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,6088,233,0.6283,0.2026,0.4256,0.6126,0.4681,0.0006,0.7480
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,6172,273,0.3537,0.2493,0.1043,0.3493,0.3478,0.0601,0.6058
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,6172,273,0.7623,0.5143,0.2480,0.7518,0.4167,0.0004,0.6309
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,6172,273,0.2758,0.3476,-0.0718,0.2789,0.4388,0.0000,0.5914
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,6172,273,0.8849,0.6597,0.2252,0.8754,0.2160,0.8051,0.6520
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,6172,273,0.1021,0.1184,-0.0163,0.1028,0.2354,0.0000,0.6080
alfworld,Qwen3.5-27B,Qwen3.5-27B,self,2391,641,0.1612,0.0534,0.1077,0.1384,0.2036,0.0124,0.7283
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,3415,566,0.2440,0.1545,0.0896,0.2313,0.2086,0.0600,0.6499
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,3439,585,0.1357,0.0873,0.0483,0.1286,0.1889,0.0124,0.6722
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,2398,712,0.4070,0.2094,0.1976,0.3617,0.2917,0.0972,0.6813
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,2398,712,0.0953,0.0245,0.0708,0.0791,0.2580,0.0000,0.6483
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,2398,712,0.0434,0.0288,0.0146,0.0401,0.1920,0.0000,0.5791
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,2398,712,0.1125,0.0521,0.0604,0.0987,0.1645,0.0180,0.6742
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,2398,712,0.0197,0.0054,0.0142,0.0164,0.1056,0.0000,0.6448
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,2499,517,0.3185,0.1290,0.1895,0.2860,0.3404,0.0086,0.6743
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,2499,517,0.0298,0.0317,-0.0020,0.0301,0.1647,0.0000,0.5974
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,2499,517,0.2031,0.0822,0.1208,0.1823,0.2110,0.0293,0.7149
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,2499,517,0.5088,0.2249,0.2838,0.4601,0.3163,0.1543,0.7127
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,2499,517,0.1112,0.0135,0.0978,0.0945,0.2776,0.0000,0.6731
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,2499,517,0.0135,0.0127,0.0008,0.0134,0.0690,0.0000,0.6740
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,6545,185,0.1091,0.2412,-0.1320,0.1128,0.3045,0.0000,0.6717
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,6545,185,0.8587,0.4897,0.3691,0.8486,0.3460,0.1824,0.6903
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,6545,185,0.9002,0.5808,0.3194,0.8914,0.1968,0.7771,0.7293
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,6545,185,0.3030,0.2291,0.0739,0.3010,0.2884,0.0759,0.6326
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,6545,185,0.0759,0.1427,-0.0667,0.0778,0.1915,0.0000,0.6795
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,981,182,0.1165,0.0379,0.0785,0.1042,0.2846,0.0000,0.7380
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,981,182,0.0846,0.1521,-0.0675,0.0951,0.2836,0.0000,0.5000
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,981,182,0.3197,0.0681,0.2515,0.2803,0.2873,0.0373,0.7762
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,981,182,0.5485,0.1290,0.4195,0.4828,0.3425,0.3208,0.7955
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,981,182,0.0193,0.0186,0.0007,0.0192,0.0942,0.0000,0.7750
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,2343,32,0.0364,0.0212,0.0152,0.0362,0.1392,0.0000,0.8476
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,2343,32,0.0553,0.2189,-0.1636,0.0575,0.2239,1.0000,0.5009
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,2343,32,0.2701,0.0520,0.2181,0.2672,0.2714,0.0180,0.8575
