dataset,target,assessor,arm,scope,n,base,majority,agree,lift_maj,bal_acc,tpr,tnr,say_inc,tp,fp,tn,fn
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,4765,0.5108,0.5108,0.6017,0.0909,0.6097,0.2395,0.9798,0.1322,583,47,2284,1851
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4765,0.5108,0.5108,0.7566,0.2458,0.7581,0.6869,0.8293,0.4344,1672,398,1933,762
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,4765,0.5108,0.5108,0.6978,0.1870,0.7033,0.4470,0.9597,0.2481,1088,94,2237,1346
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,4765,0.5108,0.5108,0.5282,0.0174,0.5379,0.0892,0.9867,0.0520,217,31,2300,2217
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,4765,0.5108,0.5108,0.4976,-0.0132,0.5082,0.0189,0.9974,0.0109,46,6,2325,2388
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4765,0.5108,0.5108,0.4997,-0.0111,0.5101,0.0275,0.9927,0.0176,67,17,2314,2367
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,4765,0.5108,0.5108,0.5165,0.0057,0.5262,0.0748,0.9777,0.0491,182,52,2279,2252
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,4765,0.5108,0.5108,0.4936,-0.0172,0.5043,0.0103,0.9983,0.0061,25,4,2327,2409
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-mean,4765,0.5108,0.5108,0.5681,0.0573,0.5696,0.5021,0.6371,0.4340,1222,846,1485,1212
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4765,0.5108,0.5108,0.5249,0.0141,0.5270,0.4269,0.6272,0.4004,1039,869,1462,1395
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-action,4765,0.5108,0.5108,0.5511,0.0403,0.5540,0.4199,0.6881,0.3671,1022,727,1604,1412
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-thought,4765,0.5108,0.5108,0.5822,0.0714,0.5821,0.5863,0.5779,0.5060,1427,984,1347,1007
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-mean,4765,0.5108,0.5108,0.7813,0.2705,0.7778,0.9417,0.6139,0.6699,2292,900,1431,142
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4765,0.5108,0.5108,0.7572,0.2464,0.7533,0.9314,0.5753,0.6835,2267,990,1341,167
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,4765,0.5108,0.5108,0.7708,0.2600,0.7673,0.9306,0.6040,0.6690,2265,923,1408,169
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,4765,0.5108,0.5108,0.7725,0.2617,0.7693,0.9178,0.6208,0.6544,2234,884,1447,200
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-mean,4765,0.5108,0.5108,0.4791,-0.0317,0.4879,0.0818,0.8940,0.0936,199,247,2084,2235
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4765,0.5108,0.5108,0.4703,-0.0405,0.4734,0.3311,0.6156,0.3572,806,896,1435,1628
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-action,4765,0.5108,0.5108,0.4848,-0.0260,0.4917,0.1734,0.8100,0.1815,422,443,1888,2012
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-thought,4765,0.5108,0.5108,0.4770,-0.0338,0.4852,0.1085,0.8619,0.1230,264,322,2009,2170
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-mean,6482,0.7546,0.7546,0.7306,-0.0239,0.7668,0.6958,0.8378,0.5648,3403,258,1333,1488
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6482,0.7546,0.7546,0.8320,0.0774,0.7290,0.9313,0.5267,0.8189,4555,753,838,336
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-action,6482,0.7546,0.7546,0.7658,0.0113,0.7886,0.7438,0.8334,0.6021,3638,265,1326,1253
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6482,0.7546,0.7546,0.6214,-0.1331,0.6753,0.5694,0.7813,0.4833,2785,348,1243,2106
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-mean,6482,0.7546,0.7546,0.2507,-0.5039,0.5014,0.0090,0.9937,0.0083,44,10,1581,4847
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6482,0.7546,0.7546,0.2621,-0.4924,0.5040,0.0288,0.9793,0.0268,141,33,1558,4750
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-action,6482,0.7546,0.7546,0.2698,-0.4847,0.5081,0.0401,0.9761,0.0361,196,38,1553,4695
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-thought,6482,0.7546,0.7546,0.2476,-0.5069,0.4995,0.0047,0.9943,0.0049,23,9,1582,4868
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-mean,6482,0.7546,0.7546,0.4235,-0.3311,0.5139,0.3363,0.6914,0.3295,1645,491,1100,3246
