dataset,target,assessor,arm,scope,n,base,majority,agree,lift_maj,bal_acc,tpr,tnr,say_inc,tp,fp,tn,fn
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,4765,0.5108,0.5108,0.6017,0.0909,0.6097,0.2395,0.9798,0.1322,583,47,2284,1851
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-mean,6482,0.7546,0.7546,0.7306,-0.0239,0.7668,0.6958,0.8378,0.5648,3403,258,1333,1488
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-mean,6604,0.7816,0.7816,0.7682,-0.0135,0.7303,0.7976,0.6630,0.6970,4117,486,956,1045
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-mean,3197,0.3819,0.6181,0.6547,0.0366,0.5518,0.1163,0.9873,0.0522,142,25,1951,1079
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-mean,3304,0.3308,0.6692,0.7107,0.0415,0.5689,0.1500,0.9878,0.0578,164,27,2184,929
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-mean,6790,0.8863,0.8863,0.8730,-0.0133,0.7968,0.8955,0.6982,0.8280,5389,233,539,629
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,4765,0.5108,0.5108,0.4976,-0.0132,0.5082,0.0189,0.9974,0.0109,46,6,2325,2388
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-mean,6482,0.7546,0.7546,0.2507,-0.5039,0.5014,0.0090,0.9937,0.0083,44,10,1581,4847
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,6604,0.7816,0.7816,0.2438,-0.5379,0.5080,0.0389,0.9771,0.0354,201,33,1409,4961
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-mean,3197,0.3819,0.6181,0.6184,0.0003,0.5006,0.0016,0.9995,0.0009,2,1,1975,1219
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-mean,3304,0.3308,0.6692,0.6689,-0.0003,0.5002,0.0018,0.9986,0.0015,2,3,2208,1091
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-mean,6790,0.8863,0.8863,0.1492,-0.7371,0.5076,0.0437,0.9715,0.0420,263,22,750,5755
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-mean,4765,0.5108,0.5108,0.5681,0.0573,0.5696,0.5021,0.6371,0.4340,1222,846,1485,1212
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-mean,6482,0.7546,0.7546,0.4235,-0.3311,0.5139,0.3363,0.6914,0.3295,1645,491,1100,3246
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-mean,6604,0.7816,0.7816,0.3799,-0.4017,0.5034,0.2842,0.7226,0.2827,1467,400,1042,3695
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-mean,3197,0.3819,0.6181,0.6146,-0.0034,0.5075,0.0541,0.9610,0.0447,66,77,1899,1155
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-mean,3304,0.3308,0.6692,0.6292,-0.0400,0.5106,0.1601,0.8611,0.1459,175,307,1904,918
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-mean,6790,0.8863,0.8863,0.4361,-0.4502,0.5802,0.3937,0.7668,0.3754,2369,180,592,3649
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-mean,4765,0.5108,0.5108,0.7813,0.2705,0.7778,0.9417,0.6139,0.6699,2292,900,1431,142
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-mean,6482,0.7546,0.7546,0.8247,0.0702,0.6822,0.9622,0.4023,0.8727,4706,951,640,185
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-mean,6604,0.7816,0.7816,0.8265,0.0448,0.6299,0.9789,0.2809,0.9222,5053,1037,405,109
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-mean,3197,0.3819,0.6181,0.6675,0.0494,0.6328,0.4857,0.7799,0.3216,593,435,1541,628
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-mean,3304,0.3308,0.6692,0.7903,0.1211,0.7984,0.8225,0.7743,0.4231,899,499,1712,194
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-mean,6790,0.8863,0.8863,0.9193,0.0330,0.7100,0.9809,0.4391,0.9331,5903,433,339,115
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-mean,3304,0.3308,0.6692,0.6849,0.0157,0.6251,0.4483,0.8019,0.2809,490,438,1773,603
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-mean,4765,0.5108,0.5108,0.4791,-0.0317,0.4879,0.0818,0.8940,0.0936,199,247,2084,2235
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-mean,6482,0.7546,0.7546,0.3160,-0.4386,0.4988,0.1396,0.8580,0.1402,683,226,1365,4208
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-mean,6604,0.7816,0.7816,0.2948,-0.4868,0.4949,0.1397,0.8502,0.1419,721,216,1226,4441
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-mean,3197,0.3819,0.6181,0.6124,-0.0056,0.4998,0.0229,0.9767,0.0231,28,46,1930,1193
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-mean,3304,0.3308,0.6692,0.6601,-0.0091,0.4962,0.0119,0.9806,0.0169,13,43,2168,1080
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-mean,6790,0.8863,0.8863,0.1604,-0.7259,0.4671,0.0701,0.8640,0.0776,422,105,667,5596
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4765,0.5108,0.5108,0.7566,0.2458,0.7581,0.6869,0.8293,0.4344,1672,398,1933,762
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6482,0.7546,0.7546,0.8320,0.0774,0.7290,0.9313,0.5267,0.8189,4555,753,838,336
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6604,0.7816,0.7816,0.8368,0.0551,0.6664,0.9688,0.3641,0.8961,5001,917,525,161
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3197,0.3819,0.6181,0.7107,0.0926,0.6469,0.3767,0.9170,0.1952,460,164,1812,761
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,3304,0.3308,0.6692,0.7730,0.1038,0.7133,0.5371,0.8896,0.2515,587,244,1967,506
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6790,0.8863,0.8863,0.9196,0.0333,0.7096,0.9814,0.4378,0.9337,5906,434,338,112
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4765,0.5108,0.5108,0.4997,-0.0111,0.5101,0.0275,0.9927,0.0176,67,17,2314,2367
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6482,0.7546,0.7546,0.2621,-0.4924,0.5040,0.0288,0.9793,0.0268,141,33,1558,4750
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6604,0.7816,0.7816,0.2535,-0.5282,0.4985,0.0635,0.9334,0.0642,328,96,1346,4834
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,3197,0.3819,0.6181,0.6175,-0.0006,0.4997,0.0008,0.9985,0.0013,1,3,1973,1220
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,3304,0.3308,0.6692,0.6668,-0.0024,0.4991,0.0037,0.9946,0.0048,4,12,2199,1089
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6790,0.8863,0.8863,0.1744,-0.7119,0.5167,0.0736,0.9598,0.0698,443,31,741,5575
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4765,0.5108,0.5108,0.5249,0.0141,0.5270,0.4269,0.6272,0.4004,1039,869,1462,1395
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6482,0.7546,0.7546,0.4278,-0.3268,0.4843,0.3733,0.5952,0.3811,1826,644,947,3065
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6604,0.7816,0.7816,0.3745,-0.4072,0.4792,0.2933,0.6650,0.3024,1514,483,959,3648
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3197,0.3819,0.6181,0.6028,-0.0153,0.4970,0.0491,0.9448,0.0529,60,109,1867,1161
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3304,0.3308,0.6692,0.5975,-0.0717,0.4913,0.1775,0.8051,0.1892,194,431,1780,899
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6790,0.8863,0.8863,0.3969,-0.4894,0.5068,0.3646,0.6490,0.3630,2194,271,501,3824
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4765,0.5108,0.5108,0.7572,0.2464,0.7533,0.9314,0.5753,0.6835,2267,990,1341,167
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6482,0.7546,0.7546,0.8337,0.0791,0.6937,0.9687,0.4186,0.8737,4738,925,666,153
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6604,0.7816,0.7816,0.8342,0.0525,0.6421,0.9831,0.3010,0.9211,5075,1008,434,87
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,3197,0.3819,0.6181,0.6497,0.0316,0.6230,0.5102,0.7358,0.3581,623,522,1454,598
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3304,0.3308,0.6692,0.7927,0.1235,0.8004,0.8234,0.7775,0.4213,900,492,1719,193
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6790,0.8863,0.8863,0.9227,0.0364,0.7068,0.9862,0.4275,0.9392,5935,442,330,83
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2322,0.2976,0.7024,0.6680,-0.0345,0.6611,0.6440,0.6781,0.4177,445,525,1106,246
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4765,0.5108,0.5108,0.4703,-0.0405,0.4734,0.3311,0.6156,0.3572,806,896,1435,1628
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6482,0.7546,0.7546,0.4136,-0.3409,0.4225,0.4050,0.4400,0.4431,1981,891,700,2910
