task_id,step_idx,MTE_A,MTE_T,MaxTE_A,MaxTE_T,PPL_A,PPL_T,SP_A,SP_T,chat_ingen_J,posthoc_num_A,posthoc_num_T,ptrue_A,ptrue_R,ptrue_T,sep_verbalized_A,sep_verbalized_T,tau,loop_flag,obs_changed,in_admissible,judge_correct_frac,judge_n_valid
1009,1,0.3791312424473011,0.48395126827831575,0.9728098749934373,2.122240818390882,1.3168632407890246,1.316595572480687,0.8894205052556823,0.9995477973824591,0.0,0.050000000000000044,0.050000000000000044,0.500027091946105,0.49997836114331673,0.5621556184951197,0.25,0.25,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1009,2,0.4807279025463932,0.8409972636812242,0.9681528485477131,2.324300788269131,1.182658066466701,1.9608807781134396,0.5677808464153465,0.9999999991409605,0.0,0.010000000000000009,0.0,0.02931026565297891,0.006691782994872727,0.017985357697579737,0.050000000000000044,0.050000000000000044,"{'I': 0, 'W': 1, 'R': 0, 'C': 'costly'}",False,True,True,1.0,3
1084,1,0.27357453969298356,0.658156111534679,0.9824282008205966,2.0840138418984564,1.2334032873075302,1.4976076036246755,0.7697157219359378,0.9999999961902695,0.1,0.050000000000000044,0.050000000000000044,0.9820116242639737,0.7771852552823039,0.43782929117901337,1.0,0.25,"{'I': 0, 'W': 1, 'R': 0, 'C': 'costly'}",False,True,True,0.0,3
110,1,0.5873456836144193,0.7503568334052948,1.322937183328513,2.1048820865753144,1.9402060779975798,1.6866023386670286,0.9974333346168205,0.9999999808764611,0.25,0.050000000000000044,0.050000000000000044,0.09534241960951584,0.060060073925954076,0.2226769965916827,0.25,0.25,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
110,2,0.30115103252111586,1.010032625710666,0.9538001742150938,2.1383323915346666,1.3506836696115148,2.0639010633689336,0.9331629676644319,0.9999999999999706,0.25,0.050000000000000044,0.30000000000000004,0.4377963005197877,0.4377713915002729,0.320840582194904,0.5,1.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
110,3,0.14517069425248777,0.8915241216813635,0.6958604288043727,2.1311220817165584,1.080895308920262,1.7416407164879486,0.5034679208917214,0.9999999999997048,0.25,0.050000000000000044,0.0,0.11919659281839796,0.1824001123469005,0.2226964353913469,0.30000000000000004,1.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
110,4,0.1309582439363555,1.0502560263537595,0.7474274334500703,2.3822733682434545,1.077276757647267,1.900799566515778,0.48825407864388626,1.0,0.25,0.050000000000000044,0.050000000000000044,0.04742264493693155,0.0373212682603765,0.0600870173364841,0.25,0.30000000000000004,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
110,5,0.05033237100023612,0.9530424033587045,0.28949074065444336,2.4332563525493067,1.0118969558452073,1.8665020535601915,0.1009716325358272,1.0,0.25,0.050000000000000044,0.050000000000000044,0.18243297487915205,0.07584846796355697,0.1480678981233079,0.4,1.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
110,6,0.265529891338866,1.0013952175821317,0.8491691392849896,2.3886239377265204,1.253361393457683,1.9722640402951819,0.7941903153548853,1.0,0.1,0.050000000000000044,0.050000000000000044,0.029310937559814114,0.02930717531299395,0.0373255438249541,0.25,0.5,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
110,7,0.2730032885639648,0.9723241666085399,1.0403692634203792,2.554294680234353,1.2720326280725889,1.9646056664036626,0.8144280885263695,1.0,0.1,0.050000000000000044,0.050000000000000044,0.01798528411280169,0.022974913036918947,0.037326446586897905,0.4,0.25,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
