variant,dataset,assessor,target,n,batch_ba,incl_mean,post_mean,penalty_post,penalty_incl
h,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,4285,0.7798,0.7795,0.7804,0.0006,-0.0003
h,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,6203,0.7872,0.7857,0.7857,-0.0015,-0.0015
h,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,6005,0.7660,0.7650,0.7649,-0.0010,-0.0010
h,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,2872,0.6870,0.6860,0.6853,-0.0017,-0.0010
h,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,3067,0.7486,0.7496,0.7476,-0.0010,0.0009
h,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,6507,0.7990,0.8002,0.8001,0.0011,0.0011
h,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,4285,0.7915,0.7963,0.7959,0.0044,0.0048
h,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,6203,0.8043,0.8023,0.8022,-0.0021,-0.0020
h,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,6005,0.7870,0.7864,0.7863,-0.0007,-0.0006
h,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,2872,0.6083,0.6074,0.6062,-0.0021,-0.0009
h,alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,3067,0.7550,0.7572,0.7570,0.0020,0.0023
h,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,6507,0.8209,0.8215,0.8215,0.0006,0.0006
h,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1878,0.8220,0.8226,0.8217,-0.0002,0.0007
h,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,2626,0.8291,0.8285,0.8286,-0.0005,-0.0006
h,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,2282,0.8603,0.8600,0.8602,-0.0001,-0.0003
h,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1787,0.8219,0.8210,0.8197,-0.0022,-0.0009
