dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4765,140,4765,0.4418,0.7619,0.7693,0.7616,0.0077,-0.0004
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6482,140,6482,0.8224,0.7272,0.7662,0.7600,0.0062,0.0328
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6604,140,6604,0.8987,0.6650,0.7378,0.7374,0.0004,0.0724
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3197,140,3197,0.1992,0.6489,0.6992,0.7082,-0.0090,0.0593
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,3304,120,3304,0.2588,0.7154,0.7492,0.7449,0.0043,0.0295
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6790,140,6790,0.9351,0.7067,0.7992,0.7863,0.0129,0.0796
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4765,140,4765,0.0191,0.5107,0.6215,0.6166,0.0050,0.1059
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6482,140,6482,0.0296,0.5051,0.5864,0.5814,0.0050,0.0764
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6604,140,6604,0.0695,0.5001,0.5719,0.5512,0.0207,0.0511
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,3197,140,3197,0.0016,0.4994,0.5574,0.5426,0.0149,0.0432
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,3304,120,3304,0.0048,0.4991,0.5588,0.5268,0.0320,0.0277
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6790,140,6790,0.0769,0.5163,0.6713,0.6689,0.0023,0.1526
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4765,140,4765,0.4502,0.5266,0.5397,0.5181,0.0216,-0.0085
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6482,140,6482,0.4258,0.4781,0.5079,0.5033,0.0045,0.0252
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6604,140,6604,0.3425,0.4796,0.5086,0.4975,0.0111,0.0179
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3197,140,3197,0.0673,0.4959,0.5044,0.4996,0.0048,0.0036
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3304,120,3304,0.2361,0.4829,0.5152,0.4868,0.0285,0.0039
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6790,140,6790,0.4131,0.5094,0.5337,0.5232,0.0105,0.0138
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,4113,140,4113,0.3973,0.5809,0.5884,0.5849,0.0035,0.0041
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,4265,140,4265,0.1503,0.5688,0.6308,0.6304,0.0004,0.0616
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4765,140,4765,0.6988,0.7440,0.8192,0.8230,-0.0038,0.0790
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6482,140,6482,0.8809,0.6860,0.7834,0.7798,0.0035,0.0939
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6604,140,6604,0.9263,0.6356,0.7528,0.7484,0.0044,0.1128
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,3197,140,3197,0.3769,0.6284,0.6545,0.6637,-0.0091,0.0353
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3304,120,3304,0.4413,0.7971,0.8055,0.7716,0.0339,-0.0255
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6790,140,6790,0.9434,0.6946,0.8147,0.8114,0.0032,0.1168
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2322,90,2322,0.4462,0.6717,0.6856,0.6909,-0.0053,0.0191
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4765,140,4765,0.3576,0.4738,0.5495,0.5356,0.0139,0.0618
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6482,140,6482,0.4437,0.4229,0.5507,0.5486,0.0021,0.1257
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6604,140,6604,0.4676,0.4429,0.5458,0.5437,0.0021,0.1008
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,3197,140,3197,0.1492,0.5012,0.5853,0.5791,0.0062,0.0779
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,3304,120,3304,0.1371,0.4885,0.5396,0.5123,0.0273,0.0238
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6790,140,6790,0.2493,0.4200,0.5928,0.5813,0.0115,0.1613
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,2530,500,2530,0.1719,0.6913,0.7692,0.7615,0.0077,0.0702
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,3224,500,3224,0.6225,0.7693,0.7752,0.7718,0.0034,0.0025
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,2716,500,2716,0.5677,0.8264,0.8347,0.8229,0.0118,-0.0035
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,2192,500,2192,0.0753,0.6190,0.7741,0.7577,0.0164,0.1387
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,2565,500,2565,0.4893,0.8332,0.8353,0.8307,0.0046,-0.0025
