dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4765,140,5,1.0000,0,0.5108,0.4371,0.5016,0.7619,0.7278,0.7428,0.7673,0.7686,0.7619,0.7616,34.4846,49.8392,48.9192,0.4418,0.3326,0.6552,0.5018,0.5108,0.4418,0.0622,0.4689,0.9024
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,6482,140,5,1.0000,0,0.7546,0.8167,0.7668,0.7272,0.7598,0.7590,0.7558,0.7563,0.7272,0.7600,42.1817,23.3159,24.5449,0.8224,0.7353,0.5782,0.7669,0.7546,0.8224,0.0622,0.4689,0.9266
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6604,140,5,1.0000,0,0.7816,0.8951,0.8354,0.6650,0.6916,0.7214,0.7106,0.7290,0.6664,0.7374,42.7337,16.4633,21.8353,0.8987,0.8661,0.5728,0.8354,0.7816,0.8961,0.0622,0.5311,0.9621
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,3197,140,5,1.0000,0,0.3819,0.1975,0.3053,0.6489,0.5998,0.6614,0.6848,0.6910,0.6469,0.7082,34.9472,69.4688,61.8079,0.1992,0.1142,0.6506,0.3056,0.3822,0.1952,0.0622,0.5311,0.9265
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,3304,120,5,1.0000,0,0.3308,0.2550,0.4067,0.7154,0.6514,0.7040,0.7416,0.7311,0.7154,0.7449,35.5342,59.3254,66.9189,0.2588,0.1423,0.6447,0.4068,0.3311,0.2588,0.0622,0.4689,0.9019
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6790,140,5,1.0000,0,0.8863,0.9333,0.8171,0.7067,0.7306,0.7622,0.7987,0.7662,0.7067,0.7863,43.3106,18.2907,11.3697,0.9351,0.9191,0.5672,0.8171,0.8863,0.9351,0.0622,0.4689,0.9758
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4765,140,5,1.0000,0,0.5108,0.0304,0.5017,0.5107,0.6207,0.6082,0.6183,0.6187,0.5101,0.6166,42.2262,49.8330,48.9192,0.0191,0.4013,0.5778,0.5018,0.5108,0.0176,0.0312,0.5156,0.9333
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,6482,140,5,1.0000,0,0.7546,0.0487,0.5535,0.5051,0.5823,0.5830,0.5828,0.5718,0.5040,0.5814,44.9351,44.6454,24.5449,0.0296,0.5491,0.5508,0.5537,0.7546,0.0268,0.0312,0.5156,0.8915
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6604,140,5,1.0000,0,0.7816,0.1006,0.8511,0.5001,0.5712,0.5623,0.5640,0.5684,0.4985,0.5512,48.6551,14.8918,21.8353,0.0695,0.6903,0.5135,0.8512,0.7816,0.0642,0.0312,0.5156,0.7935
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,3197,140,5,1.0000,0,0.3819,0.0052,0.3921,0.4994,0.5436,0.5376,0.5405,0.5393,0.5002,0.5426,48.9819,60.7942,61.8079,0.0016,0.1173,0.5105,0.3922,0.3822,0.0006,0.2360,0.6802,0.9891
