dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4142,140,4142,0.4457,0.7931,0.7997,0.7979,0.0018,0.0048
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,5866,140,5866,0.8271,0.7532,0.7934,0.7884,0.0050,0.0352
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,5682,140,5682,0.9043,0.6998,0.7798,0.7748,0.0050,0.0750
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,2705,140,2705,0.1893,0.6702,0.7217,0.7283,-0.0066,0.0581
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,2981,120,2981,0.2536,0.7461,0.7750,0.7633,0.0117,0.0171
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6372,140,6372,0.9440,0.7263,0.8170,0.8028,0.0142,0.0766
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4142,140,4142,0.0191,0.5124,0.6421,0.6362,0.0059,0.1238
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,5866,140,5866,0.0292,0.5078,0.6007,0.5941,0.0066,0.0863
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,5682,140,5682,0.0641,0.5114,0.5890,0.5700,0.0191,0.0586
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,2705,140,2705,0.0015,0.4997,0.5593,0.5465,0.0128,0.0468
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,2981,120,2981,0.0050,0.4988,0.5604,0.5254,0.0350,0.0266
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6372,140,6372,0.0772,0.5186,0.6858,0.6753,0.0105,0.1567
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4142,140,4142,0.4524,0.5343,0.5484,0.5231,0.0253,-0.0112
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,5866,140,5866,0.4272,0.4712,0.5077,0.5016,0.0061,0.0304
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,5682,140,5682,0.3425,0.4729,0.5084,0.4975,0.0110,0.0246
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,2705,140,2705,0.0625,0.4915,0.5063,0.5044,0.0018,0.0129
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,2981,120,2981,0.2325,0.4782,0.5161,0.4915,0.0246,0.0133
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6372,140,6372,0.4165,0.5020,0.5297,0.5219,0.0078,0.0199
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4142,140,4142,0.6837,0.7745,0.8549,0.8571,-0.0023,0.0826
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,5866,140,5866,0.8798,0.7139,0.8177,0.8119,0.0059,0.0980
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,5682,140,5682,0.9256,0.6683,0.8024,0.7977,0.0047,0.1294
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,2705,140,2705,0.3482,0.6380,0.6689,0.6741,-0.0051,0.0361
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,2981,120,2981,0.4096,0.8110,0.8203,0.7820,0.0383,-0.0290
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6372,140,6372,0.9501,0.7118,0.8327,0.8283,0.0043,0.1165
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2114,90,2114,0.4305,0.6742,0.6883,0.6946,-0.0062,0.0204
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4142,140,4142,0.3551,0.4761,0.5600,0.5520,0.0080,0.0760
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,5866,140,5866,0.4388,0.4164,0.5566,0.5541,0.0024,0.1378
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,5682,140,5682,0.4648,0.4253,0.5537,0.5398,0.0139,0.1145
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,2705,140,2705,0.1386,0.4955,0.5986,0.5936,0.0049,0.0981
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,2981,120,2981,0.1372,0.4875,0.5411,0.5128,0.0283,0.0254
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6372,140,6372,0.2437,0.4090,0.5966,0.5833,0.0132,0.1744
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,1845,467,1845,0.1393,0.7396,0.8250,0.8157,0.0092,0.0762
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,2607,492,2607,0.6026,0.8249,0.8309,0.8289,0.0020,0.0040
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,2229,466,2229,0.5545,0.8596,0.8657,0.8560,0.0097,-0.0036
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,1784,497,1784,0.0656,0.6695,0.8269,0.8074,0.0195,0.1379
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,2229,487,2229,0.4823,0.8627,0.8679,0.8615,0.0064,-0.0013
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1845,467,1845,0.0000,0.5000,0.6599,0.6485,0.0114,0.1485
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,2607,492,2607,0.0027,0.5016,0.6640,0.6601,0.0039,0.1585
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,2229,466,2229,0.0103,0.5074,0.6613,0.6543,0.0070,0.1469
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,1784,497,1784,0.0000,0.5000,0.7466,0.7193,0.0273,0.2193
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,2229,487,2229,0.0000,0.5000,0.6849,0.6809,0.0040,0.1809
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,1845,467,1845,0.1106,0.5697,0.6763,0.6706,0.0057,0.1009
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,2607,492,2607,0.1074,0.5061,0.5330,0.5203,0.0127,0.0142
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,2229,466,2229,0.0781,0.5186,0.5500,0.5443,0.0057,0.0257
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,1784,497,1784,0.0168,0.5058,0.6091,0.5963,0.0128,0.0905
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,2229,487,2229,0.0781,0.5264,0.5781,0.5751,0.0031,0.0487
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,1845,467,1845,0.3360,0.8148,0.8203,0.8182,0.0020,0.0035
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,2607,492,2607,0.7453,0.7677,0.8321,0.8262,0.0059,0.0585
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,2229,466,2229,0.6833,0.8314,0.8743,0.8691,0.0052,0.0377
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,1784,497,1784,0.1670,0.8068,0.8524,0.8327,0.0198,0.0258
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,2229,487,2229,0.5980,0.8514,0.8778,0.8724,0.0053,0.0210
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,1845,467,1845,0.0222,0.5221,0.6409,0.6297,0.0113,0.1076
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,2607,492,2607,0.0280,0.5080,0.6434,0.6378,0.0056,0.1298
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,2229,466,2229,0.0561,0.5372,0.6787,0.6759,0.0028,0.1386
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,1784,497,1784,0.0050,0.5032,0.6825,0.6402,0.0422,0.1370
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,2229,487,2229,0.0193,0.5068,0.7009,0.6921,0.0087,0.1853
