dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4142,140,5,1.0000,0,0.4973,0.4401,0.4915,0.7931,0.7538,0.7667,0.7947,0.7974,0.7931,0.7979,34.1989,50.8541,50.2656,0.4457,0.3312,0.6581,0.4915,0.4976,0.4457,0.0622,0.4689,0.9073
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,5866,140,5,1.0000,0,0.7712,0.8215,0.7795,0.7532,0.7881,0.7867,0.7798,0.7841,0.7532,0.7884,40.8007,22.0476,22.8776,0.8271,0.7424,0.5921,0.7796,0.7712,0.8271,0.0622,0.4689,0.9306
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,5682,140,5,1.0000,0,0.8073,0.9006,0.8511,0.6998,0.7246,0.7543,0.7460,0.7698,0.7014,0.7748,41.1629,14.8879,19.2714,0.9043,0.8759,0.5887,0.8511,0.8073,0.9023,0.0622,0.5311,0.9673
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,2705,140,5,1.0000,0,0.3453,0.1878,0.2708,0.6702,0.6086,0.6678,0.7043,0.7144,0.6673,0.7283,33.6661,72.9185,65.4713,0.1893,0.1083,0.6636,0.2710,0.3457,0.1856,0.0622,0.5311,0.9320
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,2981,120,5,1.0000,0,0.3053,0.2498,0.3770,0.7461,0.6752,0.7048,0.7704,0.7593,0.7461,0.7633,33.9565,62.3043,69.4733,0.2536,0.1422,0.6605,0.3771,0.3056,0.2536,0.0622,0.4689,0.9051
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6372,140,5,1.0000,0,0.9027,0.9426,0.8462,0.7263,0.7485,0.7685,0.8168,0.7856,0.7263,0.8028,42.8705,15.3790,9.7301,0.9440,0.9309,0.5719,0.8462,0.9027,0.9440,0.0622,0.4689,0.9798
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4142,140,5,1.0000,0,0.4973,0.0301,0.4897,0.5124,0.6414,0.6257,0.6390,0.6376,0.5117,0.6362,41.9809,51.0272,50.2656,0.0191,0.3962,0.5804,0.4899,0.4976,0.0174,0.0312,0.5156,0.9336
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,5866,140,5,1.0000,0,0.7712,0.0480,0.5449,0.5078,0.5964,0.5968,0.5963,0.5792,0.5065,0.5941,44.7628,45.5146,22.8776,0.0292,0.5518,0.5525,0.5450,0.7712,0.0264,0.0312,0.5156,0.8929
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,5682,140,5,1.0000,0,0.8073,0.0966,0.8436,0.5114,0.5870,0.5792,0.5801,0.5809,0.5099,0.5700,50.6934,15.6406,19.2714,0.0641,0.6610,0.4931,0.8435,0.8073,0.0590,0.0312,0.5156,0.7974
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,2705,140,5,1.0000,0,0.3453,0.0048,0.3723,0.4997,0.5460,0.5287,0.5302,0.5361,0.5003,0.5465,48.8719,62.7695,65.4713,0.0015,0.1046,0.5116,0.3726,0.3457,0.0007,0.2360,0.6802,0.9904
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,2981,120,5,1.0000,0,0.3053,0.0153,0.4623,0.4988,0.5437,0.5313,0.5404,0.5363,0.4988,0.5254,42.8191,53.7700,69.4733,0.0050,0.3942,0.5720,0.4626,0.3056,0.0050,0.0624,0.5000,0.9597
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6372,140,5,1.0000,0,0.9027,0.1192,0.9800,0.5186,0.6804,0.6382,0.5712,0.6596,0.5175,0.6753,51.5157,2.0000,9.7301,0.0772,0.7804,0.4849,0.9801,0.9027,0.0703,0.0312,0.5156,0.7199
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4142,140,5,1.0000,0,0.4973,0.4369,0.8313,0.5343,0.5446,0.5367,0.5225,0.5439,0.5330,0.5231,58.8071,16.8720,50.2656,0.4524,0.5270,0.4121,0.8312,0.4976,0.3998,0.0621,0.5311,0.2873
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,5866,140,5,1.0000,0,0.7712,0.4337,0.7178,0.4712,0.4756,0.4763,0.4813,0.4836,0.4782,0.5016,58.7332,28.2246,22.8776,0.4272,0.5094,0.4127,0.7179,0.7712,0.3785,0.0621,0.5311,0.2687
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,5682,140,5,1.0000,0,0.8073,0.3712,0.6002,0.4729,0.4679,0.4649,0.4697,0.4926,0.4705,0.4975,56.5349,39.9786,19.2714,0.3425,0.4076,0.4347,0.6003,0.8073,0.2976,0.0621,0.5311,0.3293
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,2705,140,5,1.0000,0,0.3453,0.1469,0.0482,0.4915,0.4457,0.4947,0.4933,0.4592,0.4933,0.5044,6.8123,95.1806,65.4713,0.0625,0.6621,0.9320,0.0484,0.3457,0.0484,0.0621,0.5311,0.5815
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,2981,120,5,1.0000,0,0.3053,0.2956,0.5778,0.4782,0.4901,0.5005,0.4779,0.4889,0.4782,0.4915,20.8422,42.2160,69.4733,0.2325,0.7511,0.7917,0.5780,0.3056,0.2325,0.0621,0.4689,0.2700
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,6372,140,5,1.0000,0,0.9027,0.4217,0.6529,0.5020,0.5086,0.4983,0.5212,0.5274,0.4966,0.5219,64.3525,34.7128,9.7301,0.4165,0.4477,0.3566,0.6529,0.9027,0.3584,0.0621,0.5311,0.1987
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4142,140,5,1.0000,0,0.4973,0.6594,0.6038,0.7745,0.8531,0.7989,0.8202,0.8530,0.6755,0.8571,35.7451,39.6176,50.2656,0.6837,0.4853,0.6427,0.6038,0.4976,0.8071,0.0187,0.2571,0.4737
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,5866,140,5,1.0000,0,0.7712,0.8231,0.7559,0.7139,0.8139,0.8042,0.8084,0.8048,0.6754,0.8119,40.0512,24.4113,22.8776,0.8798,0.7189,0.5996,0.7559,0.7712,0.9062,0.0184,0.3904,0.6062
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,5682,140,5,1.0000,0,0.8073,0.8844,0.8329,0.6683,0.7738,0.7652,0.7851,0.7919,0.6767,0.7977,39.9211,16.7081,19.2714,0.9256,0.8448,0.6008,0.8330,0.8073,0.9210,0.0190,0.5094,0.7480
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,2705,140,5,1.0000,0,0.3453,0.3703,0.2103,0.6380,0.5796,0.6539,0.6122,0.6391,0.6411,0.6741,32.6758,78.9710,65.4713,0.3482,0.1227,0.6732,0.2107,0.3457,0.3656,0.0191,0.4526,0.3039
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,2981,120,5,1.0000,0,0.3053,0.4229,0.3549,0.8110,0.7234,0.6998,0.8138,0.8084,0.8151,0.7820,34.6873,64.5085,69.4733,0.4096,0.1731,0.6531,0.3552,0.3056,0.3918,0.0179,0.5089,0.2878
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6372,140,5,1.0000,0,0.9027,0.9034,0.8133,0.7118,0.8093,0.7851,0.8254,0.7892,0.6877,0.8283,44.4938,18.6750,9.7301,0.9501,0.8584,0.5551,0.8132,0.9027,0.9583,0.0227,0.3889,0.7643
