dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4142,140,5,0.4973,0.7931,0.7538,0.7667,0.7979,0.7869,0.7878,0.9914,34.1989
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,5866,140,5,0.7712,0.7532,0.7881,0.7867,0.7884,0.7504,0.7832,0.9859,40.8007
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,5682,140,5,0.8073,0.6998,0.7246,0.7543,0.7748,0.6986,0.7464,0.9399,41.1629
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,2705,140,5,0.3453,0.6702,0.6086,0.6678,0.7283,0.6650,0.6817,0.9914,33.6661
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,2981,120,5,0.3053,0.7461,0.6752,0.7048,0.7633,0.7412,0.7216,0.9933,33.9565
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6372,140,5,0.9027,0.7263,0.7485,0.7685,0.8028,0.7216,0.7519,0.9047,42.8705
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4142,140,5,0.4973,0.5124,0.6414,0.6257,0.6362,0.6375,0.6070,0.0006,41.9809
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,5866,140,5,0.7712,0.5078,0.5964,0.5968,0.5941,0.5888,0.5829,0.0006,44.7628
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,5682,140,5,0.8073,0.5114,0.5870,0.5792,0.5700,0.5826,0.5849,0.0008,50.6934
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,2705,140,5,0.3453,0.4997,0.5460,0.5287,0.5465,0.5463,0.5412,0.0017,48.8719
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,2981,120,5,0.3053,0.4988,0.5437,0.5313,0.5254,0.5421,0.5309,0.0006,42.8191
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6372,140,5,0.9027,0.5186,0.6804,0.6382,0.6753,0.6784,0.6644,0.0006,51.5157
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4142,140,5,0.4973,0.5343,0.5446,0.5367,0.5231,0.5235,0.5219,0.3775,58.8071
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,5866,140,5,0.7712,0.4712,0.4756,0.4763,0.5016,0.4834,0.4926,0.3775,58.7332
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,5682,140,5,0.8073,0.4729,0.4679,0.4649,0.4975,0.4668,0.4745,0.3775,56.5349
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,2705,140,5,0.3453,0.4915,0.4457,0.4947,0.5044,0.4727,0.4454,0.0373,6.8123
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,2981,120,5,0.3053,0.4782,0.4901,0.5005,0.4915,0.4715,0.4810,0.0953,20.8422
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,6372,140,5,0.9027,0.5020,0.5086,0.4983,0.5219,0.5137,0.5219,0.4378,64.3525
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4142,140,5,0.4973,0.7745,0.8531,0.7989,0.8571,0.8295,0.8071,0.8097,35.7451
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,5866,140,5,0.7712,0.7139,0.8139,0.8042,0.8119,0.7828,0.8007,0.7965,40.0512
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,5682,140,5,0.8073,0.6683,0.7738,0.7652,0.7977,0.7362,0.7555,0.7678,39.9211
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,2705,140,5,0.3453,0.6380,0.5796,0.6539,0.6741,0.5830,0.6631,0.8081,32.6758
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,2981,120,5,0.3053,0.8110,0.7234,0.6998,0.7820,0.7857,0.6999,0.8295,34.6873
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6372,140,5,0.9027,0.7118,0.8093,0.7851,0.8283,0.7699,0.7923,0.7965,44.4938
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2114,90,0,0.2677,0.6742,,,0.6946,,,,
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4142,140,5,0.4973,0.4761,0.5550,0.5576,0.5520,0.5598,0.5585,0.0000,19.7831
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,5866,140,5,0.7712,0.4164,0.5520,0.5097,0.5541,0.5552,0.5254,0.0000,22.7950
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,5682,140,5,0.8073,0.4253,0.5523,0.5128,0.5398,0.5504,0.5259,0.0000,22.6910
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,2705,140,5,0.3453,0.4955,0.5673,0.5806,0.5936,0.5770,0.5722,0.0000,17.3142
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,2981,120,5,0.3053,0.4875,0.5354,0.5248,0.5128,0.5348,0.5296,0.0000,17.9553
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6372,140,5,0.9027,0.4090,0.5810,0.5657,0.5833,0.5941,0.5740,0.0000,21.6879
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,1845,467,4,0.1648,0.7396,0.7644,0.7842,0.8157,0.7396,0.7923,0.0953,52.0963
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,2607,492,4,0.5577,0.8249,0.8104,0.7807,0.8289,0.8210,0.7861,0.0180,62.1244
