dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4366,138,4366,0.4432,0.5893,0.6366,0.6381,-0.0015,0.0489
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,5913,138,5913,0.8224,0.6476,0.6737,0.6637,0.0100,0.0161
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6024,138,6024,0.8948,0.5825,0.6082,0.6037,0.0045,0.0212
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3016,137,3016,0.1923,0.5496,0.6039,0.5908,0.0132,0.0411
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,2937,118,2937,0.2663,0.5713,0.6184,0.6097,0.0087,0.0384
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6408,138,6408,0.9348,0.5916,0.6048,0.6014,0.0034,0.0098
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4366,138,4366,0.0202,0.5034,0.6710,0.6723,-0.0013,0.1689
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,5913,138,5913,0.0267,0.5078,0.6205,0.6087,0.0118,0.1010
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6024,138,6024,0.0699,0.5092,0.6224,0.6223,0.0001,0.1131
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,3016,137,3016,0.0017,0.4996,0.6084,0.6026,0.0058,0.1030
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,2937,118,2937,0.0054,0.4974,0.6680,0.6726,-0.0047,0.1752
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6408,138,6408,0.0746,0.5021,0.6538,0.6412,0.0126,0.1391
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4366,138,4366,0.4517,0.5841,0.6382,0.6248,0.0134,0.0408
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,5913,138,5913,0.4226,0.5654,0.5850,0.5746,0.0104,0.0092
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6024,138,6024,0.3388,0.5358,0.5719,0.5580,0.0139,0.0222
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3016,137,3016,0.0680,0.5025,0.5687,0.5597,0.0090,0.0572
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,2937,118,2937,0.2414,0.5464,0.6309,0.6249,0.0060,0.0785
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6408,138,6408,0.4075,0.5320,0.5656,0.5579,0.0078,0.0259
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4366,138,4366,0.7048,0.6269,0.6374,0.6275,0.0099,0.0006
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,5913,138,5913,0.8806,0.6400,0.6731,0.6653,0.0078,0.0253
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6024,138,6024,0.9243,0.5864,0.6201,0.6077,0.0124,0.0213
