dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4366,138,5,1.0000,0,0.8406,0.4388,0.8059,0.5893,0.5835,0.6222,0.6333,0.6308,0.5893,0.6381,31.4717,19.4111,15.9414,0.4432,0.3818,0.6853,0.8060,0.8406,0.4432,0.0622,0.4689,0.9072
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,5913,138,5,1.0000,0,0.9440,0.8172,0.9257,0.6476,0.6639,0.6623,0.6015,0.5792,0.6505,0.6637,39.4620,7.4304,5.5978,0.8224,0.7686,0.6054,0.9258,0.9440,0.8189,0.0622,0.5311,0.9283
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6024,138,5,1.0000,0,0.9401,0.8914,0.9603,0.5825,0.5842,0.5866,0.5526,0.5639,0.5812,0.6037,40.2606,3.9747,5.9927,0.8948,0.8785,0.5978,0.9603,0.9401,0.8923,0.0622,0.5311,0.9617
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,3016,137,5,1.0000,0,0.6916,0.1915,0.7736,0.5496,0.5409,0.6035,0.5897,0.6028,0.5482,0.5908,30.2285,22.6433,30.8355,0.1923,0.1469,0.6979,0.7735,0.6916,0.1893,0.0622,0.5311,0.9274
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,2937,118,5,1.0000,0,0.7858,0.2618,0.7425,0.5713,0.5605,0.6136,0.6124,0.6065,0.5713,0.6097,31.1229,25.7479,21.4164,0.2663,0.2033,0.6888,0.7426,0.7858,0.2663,0.0622,0.4689,0.9043
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6408,138,5,1.0000,0,0.9558,0.9328,0.9728,0.5916,0.6025,0.5375,0.5597,0.5841,0.5916,0.6014,42.0516,2.7152,4.4164,0.9348,0.9238,0.5805,0.9728,0.9558,0.9348,0.0622,0.4689,0.9755
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4366,138,5,1.0000,0,0.8406,0.0307,0.8118,0.5034,0.6409,0.6638,0.6615,0.6513,0.5033,0.6723,31.9697,18.8202,15.9414,0.0202,0.5344,0.6805,0.8117,0.8406,0.0186,0.0312,0.5156,0.9333
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,5913,138,5,1.0000,0,0.9440,0.0446,0.8249,0.5078,0.6198,0.6161,0.6089,0.5632,0.5081,0.6087,34.5787,17.5147,5.5978,0.0267,0.6733,0.6543,0.8250,0.9440,0.0244,0.0312,0.5156,0.9014
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6024,138,5,1.0000,0,0.9401,0.0992,0.9615,0.5092,0.5992,0.6119,0.5458,0.5654,0.5063,0.6223,28.2686,3.8452,5.9927,0.0699,0.8458,0.7173,0.9615,0.9401,0.0644,0.0312,0.5156,0.8023
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,3016,137,5,1.0000,0,0.6916,0.0051,0.8137,0.4996,0.5398,0.6050,0.5930,0.6028,0.4997,0.6026,29.7801,18.6252,30.8355,0.0017,0.2765,0.7023,0.8137,0.6916,0.0007,0.2360,0.6802,0.9891
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,2937,118,5,1.0000,0,0.7858,0.0163,0.7909,0.4974,0.6483,0.6625,0.6441,0.6449,0.4974,0.6726,32.9537,20.9112,21.4164,0.0054,0.5431,0.6704,0.7909,0.7858,0.0054,0.0624,0.5000,0.9581
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6408,138,5,1.0000,0,0.9558,0.1152,0.9800,0.5021,0.6401,0.6389,0.5524,0.5878,0.4983,0.6412,29.6370,2.0000,4.4164,0.0746,0.8897,0.7037,0.9800,0.9558,0.0674,0.0312,0.5156,0.7313
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4366,138,5,1.0000,0,0.8406,0.4369,0.9685,0.5841,0.6306,0.6159,0.5608,0.6342,0.5727,0.6248,35.6902,3.1471,15.9414,0.4517,0.7210,0.6432,0.9686,0.8406,0.3981,0.0621,0.5311,0.2902
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,5913,138,5,1.0000,0,0.9440,0.4291,0.9177,0.5654,0.5662,0.5703,0.5589,0.5504,0.5605,0.5746,22.9924,8.2253,5.5978,0.4226,0.8471,0.7702,0.9178,0.9440,0.3741,0.0621,0.5311,0.2748
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,6024,138,5,1.0000,0,0.9401,0.3680,0.8608,0.5358,0.5637,0.5609,0.5527,0.5330,0.5240,0.5580,33.4452,13.9163,5.9927,0.3388,0.6406,0.6657,0.8609,0.9401,0.2945,0.0621,0.5311,0.3305
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,3016,137,5,1.0000,0,0.6916,0.1512,0.7139,0.5025,0.5372,0.5641,0.5629,0.5608,0.5034,0.5597,30.2753,28.6113,30.8355,0.0680,0.3064,0.6973,0.7139,0.6916,0.0521,0.0621,0.5311,0.5736
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,2937,118,5,1.0000,0,0.7858,0.2996,0.8265,0.5464,0.6225,0.6302,0.6254,0.6308,0.5464,0.6249,21.8409,17.3479,21.4164,0.2414,0.7521,0.7818,0.8267,0.7858,0.2414,0.0621,0.4689,0.2714
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,6408,138,5,1.0000,0,0.9558,0.4157,0.9006,0.5320,0.5364,0.5379,0.5386,0.5194,0.5288,0.5579,23.1443,9.9364,4.4164,0.4075,0.8823,0.7686,0.9006,0.9558,0.3519,0.0621,0.5311,0.2061
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4366,138,5,1.0000,0,0.8406,0.6751,0.8584,0.6269,0.6173,0.6276,0.6295,0.6334,0.6342,0.6275,29.8502,14.1571,15.9414,0.7048,0.5852,0.7016,0.8585,0.8406,0.8191,0.0186,0.2572,0.4849
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,5913,138,5,1.0000,0,0.9440,0.8216,0.9178,0.6400,0.6696,0.6579,0.6197,0.5872,0.6289,0.6653,40.6004,8.2162,5.5978,0.8806,0.7100,0.5941,0.9178,0.9440,0.9080,0.0184,0.3904,0.5972
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,6024,138,5,1.0000,0,0.9401,0.8791,0.9565,0.5864,0.6066,0.6092,0.5623,0.5786,0.5867,0.6077,36.2677,4.3467,5.9927,0.9243,0.8625,0.6375,0.9565,0.9401,0.9192,0.0162,0.5108,0.7292
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,3016,137,5,1.0000,0,0.6916,0.3865,0.7517,0.5604,0.5247,0.6201,0.6236,0.6199,0.5477,0.5984,32.5328,24.8315,30.8355,0.3707,0.1353,0.6747,0.7517,0.6916,0.3263,0.0186,0.5433,0.2964
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,2937,118,5,1.0000,0,0.7858,0.4485,0.7253,0.5775,0.5355,0.6209,0.6276,0.6369,0.5745,0.6280,33.9604,27.4698,21.4164,0.4477,0.2148,0.6605,0.7252,0.7858,0.4287,0.0179,0.5089,0.2829
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6408,138,5,1.0000,0,0.9558,0.8936,0.9592,0.5809,0.6176,0.6107,0.5636,0.5638,0.5680,0.6219,35.7207,4.0829,4.4164,0.9427,0.8998,0.6428,0.9591,0.9558,0.9533,0.0227,0.3889,0.7411
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2083,90,0,1.0000,0,0.8224,0.4252,,0.5985,,,,0.6286,0.6046,0.6191,,,17.7628,0.4431,,,,0.8224,0.4153,0.0622,0.5311,0.6155
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4366,138,5,1.0000,0,0.8406,0.3667,0.9078,0.5597,0.5787,0.5696,0.5341,0.5513,0.5597,0.5757,29.3851,9.2188,15.9414,0.3662,0.6825,0.7061,0.9079,0.8406,0.3662,0.0622,0.4689,0.9416
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,5913,138,5,1.0000,0,0.9440,0.4478,0.9353,0.5375,0.5622,0.5581,0.5361,0.5376,0.5375,0.5511,32.2316,6.4714,5.5978,0.4485,0.8092,0.6777,0.9352,0.9440,0.4485,0.0622,0.4689,0.9494
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,6024,138,5,1.0000,0,0.9401,0.4662,0.9548,0.5291,0.5391,0.5436,0.5143,0.5153,0.5277,0.5464,32.8004,4.5184,5.9927,0.4675,0.8270,0.6720,0.9548,0.9401,0.4648,0.0622,0.5311,0.9480
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,3016,137,5,1.0000,0,0.6916,0.1489,0.8297,0.4984,0.4959,0.4972,0.4952,0.4909,0.5004,0.4978,26.1970,17.0286,30.8355,0.1515,0.4201,0.7381,0.8299,0.6916,0.1489,0.0622,0.5311,0.9718
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,2937,118,5,1.0000,0,0.7858,0.1431,0.7613,0.4940,0.4740,0.4970,0.4978,0.4962,0.4935,0.4678,29.2689,23.8705,21.4164,0.1447,0.4600,0.7075,0.7613,0.7858,0.1440,0.0622,0.5311,0.9642
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6408,138,5,1.0000,0,0.9558,0.2510,0.8006,0.3950,0.4419,0.4417,0.4899,0.5231,0.3950,0.5132,42.6132,19.9419,4.4164,0.2516,0.5744,0.5740,0.8006,0.9558,0.2516,0.0622,0.4689,0.9473
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,1054,489,4,1.0000,0,0.8273,0.2087,0.8259,0.6052,0.7427,0.6573,0.6474,0.6480,0.6035,0.7436,17.9911,17.4090,17.2676,0.2125,0.6214,0.8207,0.8264,0.8273,0.2097,0.0622,0.5311,0.9042
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,2140,488,4,1.0000,0,0.9850,0.7221,0.9697,0.8695,0.8790,0.8700,0.7701,0.6510,0.8679,0.9023,27.1190,3.0346,1.4953,0.7280,0.9341,0.7290,0.9696,0.9850,0.7248,0.0622,0.5311,0.9196
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,1558,490,4,1.0000,0,0.9807,0.7030,0.9640,0.7577,0.7189,0.7629,0.5666,0.5752,0.7557,0.7440,25.1397,3.5967,1.9255,0.7054,0.8960,0.7490,0.9641,0.9807,0.7015,0.0622,0.5311,0.9249
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1074,498,4,1.0000,0,0.7961,0.0925,0.7875,0.5550,0.6672,0.7451,0.7366,0.7218,0.5527,0.7751,22.2112,21.2476,20.3911,0.0922,0.3073,0.7784,0.7877,0.7961,0.0885,0.0622,0.5311,0.9451
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,1281,485,4,1.0000,0,0.9180,0.6078,0.9508,0.7404,0.7554,0.7558,0.6081,0.6680,0.7404,0.7226,22.5884,4.9153,8.1967,0.6128,0.8119,0.7744,0.9508,0.9180,0.6128,0.0622,0.4689,0.9313
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1054,489,4,1.0000,0,0.8273,0.0008,0.8356,0.5000,0.8145,0.7627,0.6997,0.7011,0.5011,0.8072,21.9065,16.4380,17.2676,0.0000,0.6632,0.7808,0.8359,0.8273,0.0019,0.2215,0.1582,0.9981
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2140,488,4,1.0000,0,0.9850,0.0083,0.9336,0.5012,0.8673,0.8459,0.7994,0.5559,0.5005,0.8417,28.7296,6.6435,1.4953,0.0023,0.8799,0.7126,0.9336,0.9850,0.0009,0.2461,0.6542,0.9771
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,1558,490,4,1.0000,0,0.9807,0.0124,0.9800,0.5052,0.7610,0.7802,0.5408,0.5412,0.5052,0.7829,25.0676,2.0000,1.9255,0.0103,0.8119,0.7497,0.9801,0.9807,0.0103,0.1826,0.4399,0.9807
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1074,498,4,1.0000,0,0.7961,0.0013,0.8650,0.5000,0.8446,0.7378,0.6647,0.7390,0.5012,0.8515,21.0177,13.5009,20.3911,0.0000,0.6127,0.7896,0.8650,0.7961,0.0019,0.0924,0.2480,0.9963
