dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4366,138,5,0.8406,0.5893,0.5835,0.6222,0.6381,0.5869,0.6263,0.9399,31.4717
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,5913,138,5,0.9440,0.6476,0.6639,0.6623,0.6637,0.6462,0.6634,0.9399,39.4620
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6024,138,5,0.9401,0.5825,0.5842,0.5866,0.6037,0.5838,0.6060,0.8176,40.2606
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,3016,137,5,0.6916,0.5496,0.5409,0.6035,0.5908,0.5472,0.5970,0.9241,30.2285
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,2937,118,5,0.7858,0.5713,0.5605,0.6136,0.6097,0.5674,0.6164,0.9399,31.1229
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6408,138,5,0.9558,0.5916,0.6025,0.5375,0.6014,0.5905,0.5615,0.8176,42.0516
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4366,138,5,0.8406,0.5034,0.6409,0.6638,0.6723,0.6437,0.6696,0.0001,31.9697
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,5913,138,5,0.9440,0.5078,0.6198,0.6161,0.6087,0.6077,0.6088,0.0001,34.5787
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6024,138,5,0.9401,0.5092,0.5992,0.6119,0.6223,0.6042,0.6158,0.0000,28.2686
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,3016,137,5,0.6916,0.4996,0.5398,0.6050,0.6026,0.5455,0.6061,0.0001,29.7801
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,2937,118,5,0.7858,0.4974,0.6483,0.6625,0.6726,0.6546,0.6598,0.0001,32.9537
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6408,138,5,0.9558,0.5021,0.6401,0.6389,0.6412,0.6432,0.6430,0.0000,29.6370
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4366,138,5,0.8406,0.5841,0.6306,0.6159,0.6248,0.6347,0.6309,0.1824,35.6902
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,5913,138,5,0.9440,0.5654,0.5662,0.5703,0.5746,0.5620,0.5825,0.0953,22.9924
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,6024,138,5,0.9401,0.5358,0.5637,0.5609,0.5580,0.5665,0.5694,0.1824,33.4452
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,3016,137,5,0.6916,0.5025,0.5372,0.5641,0.5597,0.5433,0.5578,0.1824,30.2753
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,2937,118,5,0.7858,0.5464,0.6225,0.6302,0.6249,0.6268,0.6267,0.0953,21.8409
