dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4285,140,4285,0.4469,0.7769,0.7831,0.7788,0.0043,0.0019
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6203,140,6203,0.8248,0.7537,0.7876,0.7822,0.0054,0.0286
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6005,140,6005,0.9016,0.6973,0.7694,0.7657,0.0037,0.0684
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,2872,140,2872,0.1932,0.6413,0.6935,0.7006,-0.0071,0.0593
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,3067,120,3067,0.2546,0.7255,0.7562,0.7525,0.0037,0.0271
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6507,140,6507,0.9422,0.7281,0.8124,0.7984,0.0140,0.0702
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4285,140,4285,0.0191,0.5114,0.6321,0.6288,0.0033,0.1174
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6203,140,6203,0.0287,0.5079,0.5998,0.5929,0.0069,0.0850
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6005,140,6005,0.0654,0.5127,0.5884,0.5701,0.0183,0.0574
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,2872,140,2872,0.0014,0.4995,0.5635,0.5464,0.0171,0.0469
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,3067,120,3067,0.0052,0.4990,0.5532,0.5126,0.0406,0.0136
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6507,140,6507,0.0771,0.5181,0.6841,0.6730,0.0111,0.1549
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4285,140,4285,0.4520,0.5248,0.5397,0.5163,0.0235,-0.0086
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6203,140,6203,0.4262,0.4667,0.5064,0.4988,0.0075,0.0322
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6005,140,6005,0.3482,0.4738,0.5066,0.4906,0.0160,0.0168
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,2872,140,2872,0.0655,0.4927,0.5068,0.4952,0.0116,0.0025
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3067,120,3067,0.2357,0.4827,0.5137,0.4872,0.0265,0.0044
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6507,140,6507,0.4177,0.4996,0.5253,0.5221,0.0032,0.0225
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4285,140,4285,0.6852,0.7591,0.8365,0.8352,0.0012,0.0761
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6203,140,6203,0.8776,0.7154,0.8049,0.7977,0.0073,0.0823
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6005,140,6005,0.9242,0.6668,0.7912,0.7870,0.0042,0.1202
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,2872,140,2872,0.3565,0.6144,0.6455,0.6491,-0.0036,0.0347
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3067,120,3067,0.4177,0.7916,0.8008,0.7635,0.0373,-0.0281
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6507,140,6507,0.9465,0.7127,0.8271,0.8244,0.0027,0.1117
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2158,90,2158,0.4374,0.6650,0.6729,0.6762,-0.0032,0.0111
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4285,140,4285,0.3566,0.4723,0.5602,0.5554,0.0048,0.0831
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6203,140,6203,0.4425,0.4206,0.5612,0.5586,0.0026,0.1380
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6005,140,6005,0.4708,0.4279,0.5571,0.5418,0.0153,0.1139
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,2872,140,2872,0.1452,0.5023,0.6168,0.6050,0.0118,0.1027
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,3067,120,3067,0.1389,0.4933,0.5518,0.5228,0.0290,0.0294
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6507,140,6507,0.2493,0.4192,0.6002,0.5900,0.0102,0.1708
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,1878,472,1878,0.1486,0.7452,0.8306,0.8216,0.0089,0.0764
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,2626,499,2626,0.6055,0.8259,0.8322,0.8300,0.0021,0.0041
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,2282,490,2282,0.5613,0.8592,0.8654,0.8562,0.0092,-0.0030
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,1787,497,1787,0.0660,0.6672,0.8271,0.8123,0.0148,0.1451
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,2248,493,2248,0.4867,0.8644,0.8692,0.8632,0.0060,-0.0012
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1878,472,1878,0.0000,0.5000,0.6546,0.6451,0.0095,0.1451
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,2626,499,2626,0.0027,0.5016,0.6633,0.6596,0.0037,0.1580
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,2282,490,2282,0.0101,0.5070,0.6612,0.6556,0.0055,0.1486
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,1787,497,1787,0.0000,0.5000,0.7422,0.7162,0.0260,0.2162
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,2248,493,2248,0.0000,0.5000,0.6819,0.6795,0.0024,0.1795
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,1878,472,1878,0.1102,0.5649,0.6709,0.6672,0.0037,0.1023
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,2626,499,2626,0.1085,0.5070,0.5346,0.5205,0.0141,0.0136
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,2282,490,2282,0.0776,0.5178,0.5487,0.5436,0.0050,0.0258
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,1787,497,1787,0.0168,0.5054,0.6107,0.5986,0.0122,0.0932
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,2248,493,2248,0.0778,0.5258,0.5769,0.5740,0.0029,0.0482
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,1878,472,1878,0.3440,0.8099,0.8136,0.8109,0.0027,0.0010
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,2626,499,2626,0.7471,0.7681,0.8332,0.8272,0.0061,0.0591
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,2282,490,2282,0.6902,0.8316,0.8735,0.8683,0.0052,0.0367
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,1787,497,1787,0.1679,0.8085,0.8533,0.8354,0.0179,0.0269
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,2248,493,2248,0.6014,0.8520,0.8769,0.8715,0.0054,0.0195
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,1878,472,1878,0.0218,0.5224,0.6537,0.6452,0.0086,0.1228
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,2626,499,2626,0.0282,0.5081,0.6440,0.6382,0.0058,0.1301
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,2282,490,2282,0.0552,0.5358,0.6777,0.6752,0.0025,0.1394
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,1787,497,1787,0.0050,0.5031,0.6881,0.6464,0.0417,0.1433
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,2248,493,2248,0.0191,0.5066,0.7013,0.6929,0.0084,0.1864
