dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4285,140,5,1.0000,0,0.5328,0.4413,0.5346,0.7769,0.7426,0.7549,0.7805,0.7806,0.7769,0.7788,33.6254,46.5356,46.7211,0.4469,0.3419,0.6637,0.5347,0.5328,0.4469,0.0622,0.4689,0.9062
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,6203,140,5,1.0000,0,0.7993,0.8188,0.7953,0.7537,0.7801,0.7822,0.7680,0.7654,0.7537,0.7822,39.4748,20.4653,20.0709,0.8248,0.7611,0.6054,0.7954,0.7993,0.8248,0.0622,0.4689,0.9287
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6005,140,5,1.0000,0,0.8243,0.8983,0.8653,0.6973,0.7149,0.7474,0.7276,0.7533,0.6990,0.7657,40.4596,13.4739,17.5687,0.9016,0.8813,0.5955,0.8653,0.8243,0.8996,0.0622,0.5311,0.9664
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,2872,140,5,1.0000,0,0.4217,0.1917,0.3119,0.6413,0.5911,0.6553,0.6765,0.6927,0.6389,0.7006,33.7668,68.8111,57.8343,0.1932,0.1118,0.6626,0.3120,0.4220,0.1894,0.0622,0.5311,0.9279
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,3067,120,5,1.0000,0,0.3384,0.2509,0.4395,0.7255,0.6679,0.6948,0.7508,0.7442,0.7255,0.7525,33.1903,56.0493,66.1559,0.2546,0.1545,0.6681,0.4398,0.3388,0.2546,0.0622,0.4689,0.9045
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6507,140,5,1.0000,0,0.9096,0.9405,0.8629,0.7281,0.7510,0.7650,0.8061,0.7775,0.7281,0.7984,42.7915,13.7071,9.0364,0.9422,0.9278,0.5722,0.8629,0.9096,0.9422,0.0622,0.4689,0.9780
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4285,140,5,1.0000,0,0.5328,0.0300,0.5337,0.5114,0.6309,0.6151,0.6240,0.6236,0.5108,0.6288,42.0337,46.6343,46.7211,0.0191,0.3967,0.5797,0.5337,0.5328,0.0175,0.0312,0.5156,0.9335
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,6203,140,5,1.0000,0,0.7993,0.0475,0.5767,0.5079,0.5971,0.5939,0.5865,0.5714,0.5068,0.5929,47.0795,42.3296,20.0709,0.0287,0.5191,0.5293,0.5768,0.7993,0.0261,0.0312,0.5156,0.8938
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6005,140,5,1.0000,0,0.8243,0.0979,0.8607,0.5127,0.5871,0.5818,0.5794,0.5786,0.5110,0.5701,50.8808,13.9262,17.5687,0.0654,0.6639,0.4913,0.8608,0.8243,0.0598,0.0312,0.5156,0.7952
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,2872,140,5,1.0000,0,0.4217,0.0049,0.4142,0.4995,0.5502,0.5384,0.5387,0.5399,0.5001,0.5464,48.7820,58.5760,57.8343,0.0014,0.1104,0.5122,0.4143,0.4220,0.0007,0.2360,0.6802,0.9903
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,3067,120,5,1.0000,0,0.3384,0.0155,0.5195,0.4990,0.5389,0.5270,0.5281,0.5359,0.4990,0.5126,42.9035,48.0514,66.1559,0.0052,0.3975,0.5712,0.5197,0.3388,0.0052,0.0624,0.5000,0.9589
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6507,140,5,1.0000,0,0.9096,0.1195,0.9800,0.5181,0.6753,0.6313,0.5713,0.6551,0.5171,0.6730,54.0121,2.0000,9.0364,0.0771,0.7576,0.4600,0.9800,0.9096,0.0702,0.0312,0.5156,0.7191
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4285,140,5,1.0000,0,0.5328,0.4371,0.8421,0.5248,0.5340,0.5309,0.5212,0.5336,0.5257,0.5163,58.6152,15.7879,46.7211,0.4520,0.5263,0.4140,0.8422,0.5328,0.4000,0.0621,0.5311,0.2875
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,6203,140,5,1.0000,0,0.7993,0.4324,0.7302,0.4667,0.4737,0.4728,0.4785,0.4870,0.4725,0.4988,58.5855,26.9781,20.0709,0.4262,0.5089,0.4143,0.7303,0.7993,0.3777,0.0621,0.5311,0.2684
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,6005,140,5,1.0000,0,0.8243,0.3743,0.6351,0.4738,0.4680,0.4677,0.4747,0.4900,0.4719,0.4906,56.5100,36.4909,17.5687,0.3482,0.4137,0.4350,0.6351,0.8243,0.3024,0.0621,0.5311,0.3284
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,2872,140,5,1.0000,0,0.4217,0.1503,0.0680,0.4927,0.4560,0.4949,0.4938,0.4521,0.4931,0.4952,6.7518,93.1997,57.8343,0.0655,0.6703,0.9325,0.0682,0.4220,0.0501,0.0621,0.5311,0.5752
