dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4285,140,5,0.5328,0.7769,0.7426,0.7549,0.7788,0.7708,0.7664,0.9859,33.6254
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,6203,140,5,0.7993,0.7537,0.7801,0.7822,0.7822,0.7511,0.7792,0.9627,39.4748
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6005,140,5,0.8243,0.6973,0.7149,0.7474,0.7657,0.6962,0.7450,0.8808,40.4596
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,2872,140,5,0.4217,0.6413,0.5911,0.6553,0.7006,0.6365,0.6628,0.9914,33.7668
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,3067,120,5,0.3384,0.7255,0.6679,0.6948,0.7525,0.7201,0.7028,0.9890,33.1903
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6507,140,5,0.9096,0.7281,0.7510,0.7650,0.7984,0.7241,0.7617,0.9047,42.7915
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4285,140,5,0.5328,0.5114,0.6309,0.6151,0.6288,0.6251,0.6047,0.0006,42.0337
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,6203,140,5,0.7993,0.5079,0.5971,0.5939,0.5929,0.5848,0.5892,0.0008,47.0795
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6005,140,5,0.8243,0.5127,0.5871,0.5818,0.5701,0.5825,0.5794,0.0008,50.8808
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,2872,140,5,0.4217,0.4995,0.5502,0.5384,0.5464,0.5548,0.5441,0.0017,48.7820
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,3067,120,5,0.3384,0.4990,0.5389,0.5270,0.5126,0.5383,0.5265,0.0006,42.9035
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6507,140,5,0.9096,0.5181,0.6753,0.6313,0.6730,0.6770,0.6554,0.0008,54.0121
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4285,140,5,0.5328,0.5248,0.5340,0.5309,0.5163,0.5159,0.5166,0.3775,58.6152
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,6203,140,5,0.7993,0.4667,0.4737,0.4728,0.4988,0.4785,0.4911,0.3775,58.5855
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,6005,140,5,0.8243,0.4738,0.4680,0.4677,0.4906,0.4655,0.4739,0.3775,56.5100
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,2872,140,5,0.4217,0.4927,0.4560,0.4949,0.4952,0.4909,0.4512,0.0373,6.7518
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,3067,120,5,0.3384,0.4827,0.4880,0.4939,0.4872,0.4752,0.4743,0.0953,20.7754
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,6507,140,5,0.9096,0.4996,0.5075,0.4961,0.5221,0.5101,0.5197,0.4378,63.8106
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4285,140,5,0.5328,0.7591,0.8358,0.7825,0.8352,0.8111,0.7843,0.7964,35.6859
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,6203,140,5,0.7993,0.7154,0.8022,0.7909,0.7977,0.7768,0.7908,0.7966,40.3985
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,6005,140,5,0.8243,0.6668,0.7606,0.7579,0.7870,0.7304,0.7550,0.7525,39.5701
