dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,2269,138,2269,0.6157,0.7406,0.7606,0.7579,0.0027,0.0173
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,4849,140,4849,0.9074,0.7309,0.7548,0.7413,0.0135,0.0104
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,4375,140,4375,0.9531,0.6411,0.6739,0.6520,0.0218,0.0110
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,1725,139,1725,0.2487,0.6292,0.7095,0.7054,0.0042,0.0761
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,1287,117,1287,0.3924,0.7406,0.7794,0.7740,0.0054,0.0333
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,5723,140,5723,0.9740,0.6709,0.6994,0.6824,0.0170,0.0115
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,2269,138,2269,0.0212,0.5033,0.7182,0.7172,0.0010,0.2140
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,4849,140,4849,0.0313,0.5120,0.6520,0.6439,0.0081,0.1320
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4375,140,4375,0.0651,0.4996,0.6433,0.6382,0.0050,0.1387
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,1725,139,1725,0.0017,0.4991,0.6496,0.6260,0.0236,0.1269
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,1287,117,1287,0.0070,0.4978,0.6757,0.6500,0.0257,0.1522
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,5723,140,5723,0.0757,0.4944,0.7413,0.7274,0.0139,0.2330
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,2269,138,2269,0.4130,0.5742,0.6391,0.6005,0.0386,0.0263
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,4849,140,4849,0.4108,0.5490,0.5779,0.5647,0.0131,0.0158
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,4375,140,4375,0.3333,0.5234,0.5599,0.5497,0.0102,0.0263
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,1725,139,1725,0.0609,0.5004,0.5560,0.5413,0.0147,0.0409
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,1287,117,1287,0.1663,0.5258,0.6082,0.5642,0.0440,0.0384
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,5723,140,5723,0.4094,0.5188,0.5623,0.5434,0.0189,0.0246
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,2269,138,2269,0.7986,0.7364,0.7731,0.7720,0.0010,0.0356
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,4849,140,4849,0.9427,0.7201,0.7714,0.7646,0.0068,0.0445
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,4375,140,4375,0.9641,0.6410,0.6798,0.6684,0.0114,0.0274
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,1725,139,1725,0.3762,0.6111,0.6877,0.6900,-0.0023,0.0789
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,1287,117,1287,0.5610,0.7571,0.7663,0.7163,0.0500,-0.0408
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,5723,140,5723,0.9771,0.6362,0.7288,0.7163,0.0125,0.0801
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,768,87,768,0.4831,0.7081,0.7525,0.7335,0.0191,0.0253
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,2269,138,2269,0.3050,0.5289,0.6258,0.6191,0.0067,0.0902
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,4849,140,4849,0.4133,0.4962,0.6035,0.5897,0.0138,0.0936
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,4375,140,4375,0.4366,0.4906,0.5644,0.5278,0.0367,0.0372
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,1725,139,1725,0.1472,0.5070,0.6128,0.6060,0.0068,0.0990
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,1287,117,1287,0.1360,0.4924,0.5733,0.5639,0.0094,0.0715
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,5723,140,5723,0.2298,0.4065,0.5763,0.5520,0.0243,0.1455
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,321,275,321,0.3022,0.8045,0.9063,0.8829,0.0235,0.0784
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,931,426,931,0.8840,0.9577,0.9605,0.9513,0.0092,-0.0064
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,873,362,873,0.8351,0.8288,0.8406,0.8174,0.0232,-0.0114
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,269,256,269,0.1115,0.7877,0.9703,0.9614,0.0089,0.1737
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,940,378,940,0.7915,0.8490,0.8616,0.8290,0.0326,-0.0200
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,321,275,321,0.0000,0.5000,0.8846,0.8737,0.0109,0.3737
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,931,426,931,0.0011,0.5006,0.9187,0.8735,0.0453,0.3729
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,873,362,873,0.0069,0.5036,0.8557,0.8258,0.0299,0.3222
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,269,256,269,0.0000,0.5000,0.9717,0.9659,0.0059,0.4659
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,940,378,940,0.0000,0.5000,0.9451,0.9394,0.0057,0.4394
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,321,275,321,0.0685,0.5664,0.8630,0.8438,0.0192,0.2773
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,931,426,931,0.0655,0.5177,0.9069,0.8915,0.0154,0.3737
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,873,362,873,0.0481,0.5249,0.8050,0.7816,0.0234,0.2567
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,269,256,269,0.0037,0.5100,0.9426,0.9338,0.0088,0.4238
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,940,378,940,0.0862,0.5485,0.9265,0.9186,0.0080,0.3700
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,321,275,321,0.4112,0.8797,0.9097,0.8820,0.0278,0.0023
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,931,426,931,0.9495,0.9593,0.9638,0.9169,0.0469,-0.0424
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,873,362,873,0.9450,0.8512,0.8942,0.8202,0.0740,-0.0310
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,269,256,269,0.1822,0.9409,0.9680,0.9367,0.0313,-0.0041
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,940,378,940,0.8734,0.9166,0.9214,0.9080,0.0133,-0.0085
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,321,275,321,0.0654,0.4931,0.7865,0.7695,0.0170,0.2764
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,931,426,931,0.0193,0.4291,0.7408,0.7494,-0.0086,0.3202
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,873,362,873,0.0367,0.4499,0.7300,0.7144,0.0156,0.2644
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,269,256,269,0.0149,0.5032,0.8813,0.8180,0.0633,0.3148
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,940,378,940,0.0149,0.4923,0.8348,0.8366,-0.0017,0.3443
