dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,2269,138,5,1.0000,0,0.7554,0.6079,0.7613,0.7406,0.7275,0.7325,0.7584,0.7591,0.7406,0.7579,18.0522,23.8693,24.4601,0.6157,0.5690,0.8197,0.7616,0.7554,0.6157,0.0622,0.4689,0.9061
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,4849,140,5,1.0000,0,0.9519,0.9011,0.9162,0.7309,0.7454,0.7396,0.7198,0.6934,0.7309,0.7413,24.3449,8.3844,4.8051,0.9074,0.8664,0.7567,0.9163,0.9519,0.9074,0.0622,0.4689,0.9445
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,4375,140,5,1.0000,0,0.9376,0.9509,0.9616,0.6411,0.6414,0.6490,0.6358,0.6464,0.6406,0.6520,24.8029,3.8410,6.2400,0.9531,0.9429,0.7520,0.9616,0.9376,0.9522,0.0622,0.5311,0.9774
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1725,139,5,1.0000,0,0.5872,0.2477,0.5203,0.6292,0.5912,0.6625,0.7005,0.7058,0.6253,0.7054,19.5536,47.9749,41.2754,0.2487,0.1577,0.8046,0.5206,0.5872,0.2441,0.0622,0.5311,0.9113
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,1287,117,5,1.0000,0,0.5983,0.3866,0.6546,0.7406,0.6941,0.7146,0.7661,0.7688,0.7341,0.7740,20.7962,34.5443,40.1709,0.3924,0.2960,0.7925,0.6550,0.5983,0.3846,0.0622,0.5311,0.8928
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,5723,140,5,1.0000,0,0.9677,0.9721,0.9650,0.6709,0.6686,0.6784,0.6914,0.6872,0.6709,0.6824,24.4054,3.5030,3.2326,0.9740,0.9750,0.7561,0.9651,0.9677,0.9740,0.0622,0.4689,0.9846
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,2269,138,5,1.0000,0,0.7554,0.0361,0.7279,0.5033,0.6946,0.7145,0.7148,0.7090,0.4991,0.7172,27.0783,27.2101,24.4601,0.0212,0.5751,0.7294,0.7281,0.7554,0.0004,0.0694,0.9393,0.9132
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,4849,140,5,1.0000,0,0.9519,0.0524,0.7560,0.5120,0.6441,0.6430,0.6379,0.5987,0.5125,0.6439,28.9941,24.3992,4.8051,0.0313,0.7121,0.7100,0.7560,0.9519,0.0280,0.0312,0.5156,0.8812
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,4375,140,5,1.0000,0,0.9376,0.0988,0.9507,0.4996,0.6268,0.6273,0.5949,0.5996,0.4996,0.6382,29.9628,4.9254,6.2400,0.0651,0.8274,0.7003,0.9509,0.9376,0.0651,0.0312,0.4844,0.7920
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1725,139,5,1.0000,0,0.5872,0.0064,0.6628,0.4991,0.6013,0.6331,0.6449,0.6341,0.4998,0.6260,24.1258,33.7231,41.2754,0.0017,0.2875,0.7588,0.6632,0.5872,0.0012,0.2982,0.6491,0.9872
