dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,2269,138,5,0.7554,0.7406,0.7275,0.7325,0.7579,0.7354,0.7585,0.8520,18.0522
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,4849,140,5,0.9519,0.7309,0.7454,0.7396,0.7413,0.7299,0.7369,0.9047,24.3449
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,4375,140,5,0.9376,0.6411,0.6414,0.6490,0.6520,0.6420,0.6450,0.8176,24.8029
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1725,139,5,0.5872,0.6292,0.5912,0.6625,0.7054,0.6213,0.6624,0.9890,19.5536
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,1287,117,5,0.5983,0.7406,0.6941,0.7146,0.7740,0.7331,0.7107,0.9770,20.7962
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,5723,140,5,0.9677,0.6709,0.6686,0.6784,0.6824,0.6685,0.6645,0.3775,24.4054
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,2269,138,5,0.7554,0.5033,0.6946,0.7145,0.7172,0.6978,0.7084,0.0001,27.0783
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,4849,140,5,0.9519,0.5120,0.6441,0.6430,0.6439,0.6364,0.6379,0.0001,28.9941
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,4375,140,5,0.9376,0.4996,0.6268,0.6273,0.6382,0.6226,0.6279,0.0001,29.9628
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1725,139,5,0.5872,0.4991,0.6013,0.6331,0.6260,0.6027,0.6365,0.0001,24.1258
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,1287,117,5,0.5983,0.4978,0.6416,0.6629,0.6500,0.6527,0.6673,0.0001,27.1475
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,5723,140,5,0.9677,0.4944,0.7260,0.6988,0.7274,0.7286,0.6963,0.0000,27.4664
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,2269,138,5,0.7554,0.5742,0.6203,0.6172,0.6005,0.6203,0.6295,0.1480,30.9705
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,4849,140,5,0.9519,0.5490,0.5766,0.5699,0.5647,0.5675,0.5739,0.0953,24.4619
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,4375,140,5,0.9376,0.5234,0.5528,0.5535,0.5497,0.5565,0.5544,0.0953,22.2103
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1725,139,5,0.5872,0.5004,0.5390,0.5406,0.5413,0.5332,0.5530,0.0759,14.9273
