dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,4492,140,4492,0.4484,0.6119,0.6681,0.6522,0.0160,0.0403
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,6321,140,6321,0.8291,0.6876,0.7058,0.6967,0.0091,0.0091
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,6445,140,6445,0.9004,0.6106,0.6256,0.6064,0.0192,-0.0041
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3110,139,3110,0.2010,0.5675,0.6455,0.6368,0.0087,0.0694
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,3016,120,3016,0.2689,0.5992,0.6581,0.6427,0.0154,0.0435
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6730,140,6730,0.9366,0.6508,0.6741,0.6703,0.0038,0.0195
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,4492,140,4492,0.0198,0.5021,0.6915,0.6886,0.0028,0.1866
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,6321,140,6321,0.0297,0.5110,0.6392,0.6334,0.0058,0.1224
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6445,140,6445,0.0695,0.5019,0.6320,0.6315,0.0005,0.1297
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,3110,139,3110,0.0016,0.4992,0.6441,0.6310,0.0131,0.1318
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,3016,120,3016,0.0053,0.4974,0.6867,0.6622,0.0245,0.1649
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6730,140,6730,0.0770,0.4951,0.7265,0.7205,0.0059,0.2254
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,4492,140,4492,0.4499,0.5850,0.6530,0.6233,0.0297,0.0383
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6321,140,6321,0.4262,0.5564,0.5796,0.5668,0.0128,0.0104
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6445,140,6445,0.3410,0.5270,0.5616,0.5426,0.0190,0.0157
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3110,139,3110,0.0666,0.5040,0.5894,0.5931,-0.0036,0.0891
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3016,120,3016,0.2367,0.5612,0.6463,0.6348,0.0116,0.0736
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6730,140,6730,0.4131,0.5206,0.5604,0.5418,0.0186,0.0212
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4492,140,4492,0.7075,0.6518,0.6644,0.6483,0.0161,-0.0034
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6321,140,6321,0.8864,0.6883,0.7260,0.7204,0.0055,0.0321
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6445,140,6445,0.9280,0.6192,0.6384,0.6245,0.0139,0.0053
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,3110,139,3110,0.3791,0.5864,0.6607,0.6301,0.0306,0.0437
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3016,120,3016,0.4509,0.6192,0.6780,0.6508,0.0272,0.0316
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6730,140,6730,0.9453,0.6192,0.6995,0.6874,0.0120,0.0683
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2150,90,2150,0.4395,0.6201,0.6685,0.6495,0.0190,0.0294
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4492,140,4492,0.3593,0.5559,0.5958,0.5918,0.0040,0.0358
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6321,140,6321,0.4419,0.5110,0.5897,0.5766,0.0131,0.0655
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6445,140,6445,0.4652,0.5057,0.5499,0.5181,0.0318,0.0124
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,3110,139,3110,0.1492,0.5066,0.5418,0.5253,0.0165,0.0188
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,3016,120,3016,0.1419,0.4981,0.5279,0.4797,0.0481,-0.0184
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6730,140,6730,0.2487,0.4167,0.5632,0.5397,0.0236,0.1230
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,1163,496,1163,0.2537,0.6276,0.7690,0.7565,0.0125,0.1290
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,2375,499,2375,0.7331,0.8715,0.9228,0.9049,0.0179,0.0334
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,1885,499,1885,0.7056,0.7569,0.7885,0.7474,0.0411,-0.0094
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,1114,499,1114,0.1086,0.5648,0.8012,0.7813,0.0199,0.2165
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,1658,500,1658,0.6484,0.7546,0.7765,0.7390,0.0375,-0.0156
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1163,496,1163,0.0000,0.5000,0.8248,0.8227,0.0021,0.3227
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,2375,499,2375,0.0021,0.5011,0.8817,0.8379,0.0439,0.3368
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1885,499,1885,0.0106,0.5054,0.8144,0.7804,0.0340,0.2751
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,1114,499,1114,0.0000,0.5000,0.8567,0.8561,0.0006,0.3561
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,1658,500,1658,0.0000,0.5000,0.8825,0.8763,0.0062,0.3763
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,1163,496,1163,0.1651,0.5913,0.8238,0.8073,0.0165,0.2160
