dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4492,140,5,1.0000,0,0.8764,0.4438,0.8532,0.6119,0.6045,0.6512,0.6599,0.6546,0.6119,0.6522,28.9985,14.6797,12.3553,0.4484,0.4103,0.7102,0.8533,0.8764,0.4484,0.0622,0.4689,0.9054
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,6321,140,5,1.0000,0,0.9631,0.8232,0.9471,0.6876,0.6848,0.6914,0.6129,0.5878,0.6876,0.6967,33.9512,5.2885,3.6861,0.8291,0.8366,0.6605,0.9472,0.9631,0.8291,0.0622,0.4689,0.9290
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6445,140,5,1.0000,0,0.9576,0.8969,0.9754,0.6106,0.6079,0.6002,0.5617,0.5850,0.6093,0.6064,39.4355,2.4625,4.2358,0.9004,0.8844,0.6059,0.9753,0.9576,0.8979,0.0622,0.5311,0.9631
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,3110,139,5,1.0000,0,0.7711,0.1996,0.8200,0.5675,0.5591,0.6423,0.6191,0.6366,0.5652,0.6368,27.7811,17.9964,22.8939,0.2010,0.1727,0.7222,0.8199,0.7711,0.1974,0.0622,0.5311,0.9264
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,3016,120,5,1.0000,0,0.8286,0.2642,0.8054,0.5992,0.5919,0.6532,0.6417,0.6242,0.5992,0.6427,28.5999,19.4607,17.1419,0.2689,0.2278,0.7142,0.8054,0.8286,0.2689,0.0622,0.4689,0.9032
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6730,140,5,1.0000,0,0.9725,0.9347,0.9800,0.6508,0.6110,0.6448,0.5786,0.6026,0.6508,0.6703,27.5060,2.0000,2.7489,0.9366,0.9672,0.7250,0.9799,0.9725,0.9366,0.0622,0.4689,0.9764
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4492,140,5,1.0000,0,0.8764,0.0309,0.8560,0.5021,0.6525,0.6879,0.6686,0.6598,0.5022,0.6886,29.2327,14.3986,12.3553,0.0198,0.5628,0.7077,0.8560,0.8764,0.0183,0.0312,0.5156,0.9321
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,6321,140,5,1.0000,0,0.9631,0.0486,0.8725,0.5110,0.6331,0.6256,0.6076,0.5767,0.5118,0.6334,26.0329,12.7528,3.6861,0.0297,0.7757,0.7398,0.8725,0.9631,0.0271,0.0312,0.5156,0.8915
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6445,140,5,1.0000,0,0.9576,0.1000,0.9734,0.5019,0.6120,0.6151,0.5473,0.5639,0.4990,0.6315,28.1296,2.6594,4.2358,0.0695,0.8518,0.7187,0.9735,0.9576,0.0641,0.0312,0.5156,0.7955
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,3110,139,5,1.0000,0,0.7711,0.0051,0.8510,0.4992,0.6081,0.6299,0.6047,0.6348,0.4995,0.6310,21.1302,14.8987,22.8939,0.0016,0.3871,0.7887,0.8511,0.7711,0.0006,0.2360,0.6802,0.9891
