dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,4492,140,5,0.8764,0.6119,0.6045,0.6512,0.6522,0.6084,0.6538,0.8176,28.9985
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,6321,140,5,0.9631,0.6876,0.6848,0.6914,0.6967,0.6871,0.7005,0.3208,33.9512
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,6445,140,5,0.9576,0.6106,0.6079,0.6002,0.6064,0.6117,0.6207,0.8176,39.4355
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,3110,139,5,0.7711,0.5675,0.5591,0.6423,0.6368,0.5627,0.6309,0.8176,27.7811
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,cross,yes,3016,120,5,0.8286,0.5992,0.5919,0.6532,0.6427,0.5931,0.6530,0.8176,28.5999
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,6730,140,5,0.9725,0.6508,0.6110,0.6448,0.6703,0.6488,0.6417,0.0007,27.5060
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,4492,140,5,0.8764,0.5021,0.6525,0.6879,0.6886,0.6598,0.6872,0.0001,29.2327
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,6321,140,5,0.9631,0.5110,0.6331,0.6256,0.6334,0.6243,0.6306,0.0000,26.0329
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,6445,140,5,0.9576,0.5019,0.6120,0.6151,0.6315,0.6108,0.6241,0.0000,28.1296
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,3110,139,5,0.7711,0.4992,0.6081,0.6299,0.6310,0.5887,0.6403,0.0000,21.1302
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,cross,no,3016,120,5,0.8286,0.4974,0.6782,0.6786,0.6622,0.6697,0.6789,0.0000,24.1678
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,6730,140,5,0.9725,0.4951,0.7036,0.6998,0.7205,0.7143,0.6934,0.0000,25.4661
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,4492,140,5,0.8764,0.5850,0.6401,0.6335,0.6233,0.6394,0.6366,0.1480,31.1998
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,6321,140,5,0.9631,0.5564,0.5784,0.5742,0.5668,0.5718,0.5756,0.0953,22.1914
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,6445,140,5,0.9576,0.5270,0.5552,0.5582,0.5426,0.5561,0.5562,0.0953,21.0951
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,3110,139,5,0.7711,0.5040,0.5717,0.5655,0.5931,0.5636,0.5825,0.0759,14.0720
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,3016,120,5,0.8286,0.5612,0.6406,0.6412,0.6348,0.6425,0.6383,0.0953,20.1454
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,6730,140,5,0.9725,0.5206,0.5472,0.5480,0.5418,0.5455,0.5487,0.0953,23.1141
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4492,140,5,0.8764,0.6518,0.6425,0.6510,0.6483,0.6513,0.6629,0.6775,27.4061
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,6321,140,5,0.9631,0.6883,0.7231,0.7063,0.7204,0.6720,0.7256,0.6777,31.9506
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,6445,140,5,0.9576,0.6192,0.6323,0.6199,0.6245,0.6117,0.6355,0.6791,34.1840
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,3110,139,5,0.7711,0.5864,0.5515,0.6522,0.6301,0.5820,0.6538,0.7309,26.8331
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,3016,120,5,0.8286,0.6192,0.5682,0.6612,0.6508,0.6177,0.6743,0.8029,32.8770
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6730,140,5,0.9725,0.6192,0.6726,0.6706,0.6874,0.5986,0.6966,0.6655,33.8522
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2150,90,0,0.8567,0.6201,,,0.6495,,,,
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4492,140,5,0.8764,0.5559,0.5863,0.5846,0.5918,0.5859,0.5861,0.0000,25.3649
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,6321,140,5,0.9631,0.5110,0.5846,0.5643,0.5766,0.5862,0.5818,0.0000,28.3823
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,6445,140,5,0.9576,0.5057,0.5482,0.5394,0.5181,0.5448,0.5389,0.0000,28.7296
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,3110,139,5,0.7711,0.5066,0.5310,0.5330,0.5253,0.5273,0.5337,0.0000,22.4485
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,3016,120,5,0.8286,0.4981,0.5092,0.5253,0.4797,0.5140,0.5235,0.0000,26.9503
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6730,140,5,0.9725,0.4167,0.5287,0.5114,0.5397,0.5254,0.5216,0.0000,30.2301
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,1163,496,4,0.8435,0.6276,0.7571,0.6565,0.7565,0.7340,0.6758,0.0000,15.9556
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,2375,499,4,0.9865,0.8715,0.9100,0.8655,0.9049,0.9066,0.8627,0.0000,24.7595
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,1885,499,4,0.9841,0.7569,0.7217,0.7588,0.7474,0.7337,0.7559,0.0000,22.4247
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1114,499,4,0.8034,0.5648,0.6783,0.7335,0.7813,0.6733,0.7209,0.0000,19.9972
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,1658,500,4,0.9367,0.7546,0.7690,0.7664,0.7390,0.7692,0.7704,0.0000,20.5599
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1163,496,4,0.8435,0.5000,0.8158,0.7578,0.8227,0.8164,0.8057,0.0000,19.6957
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2375,499,4,0.9865,0.5011,0.8636,0.8578,0.8379,0.8694,0.8414,0.0000,26.2887
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,1885,499,4,0.9841,0.5054,0.7602,0.7876,0.7804,0.7884,0.7988,0.0000,23.3914
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1114,499,4,0.8034,0.5000,0.8496,0.7426,0.8561,0.8438,0.7978,0.0000,19.9548
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,1658,500,4,0.9367,0.5000,0.8815,0.8658,0.8763,0.8535,0.8586,0.0000,21.9826
