dataset,assessor,target,self,capable,n,n_pos,n_neg,n_ep,auroc,ci_lo,ci_hi,underpowered
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,4142,2060,2082,140,0.8783,0.8556,0.8983,0
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,5866,4524,1342,140,0.8716,0.8546,0.8886,0
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,5682,4587,1095,140,0.8513,0.8346,0.8676,0
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,2705,934,1771,140,0.7932,0.7580,0.8283,0
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0,1,2981,910,2071,120,0.8544,0.8184,0.8853,0
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,6372,5752,620,140,0.8927,0.8762,0.9077,0
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,4142,2060,2082,140,0.6978,0.6586,0.7357,0
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,5866,4524,1342,140,0.6367,0.6104,0.6652,0
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,5682,4587,1095,140,0.6175,0.5914,0.6442,0
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,2705,934,1771,140,0.5746,0.5293,0.6227,0
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,0,0,2981,910,2071,120,0.5761,0.5125,0.6427,0
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,6372,5752,620,140,0.7294,0.7026,0.7546,0
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,4142,2060,2082,140,0.5568,0.5108,0.6028,0
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,5866,4524,1342,140,0.4713,0.4480,0.4960,0
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,5682,4587,1095,140,0.4643,0.4416,0.4879,0
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,2705,934,1771,140,0.4340,0.3929,0.4807,0
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,0,0,2981,910,2071,120,0.4770,0.4251,0.5327,0
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,0,6372,5752,620,140,0.5169,0.4840,0.5491,0
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,4142,2060,2082,140,0.9210,0.9010,0.9393,0
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,5866,4524,1342,140,0.8934,0.8801,0.9063,0
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,5682,4587,1095,140,0.8641,0.8446,0.8842,0
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,2705,934,1771,140,0.7255,0.6858,0.7650,0
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0,1,2981,910,2071,120,0.8774,0.8435,0.9107,0
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,6372,5752,620,140,0.9196,0.9027,0.9350,0
alfworld,deepseek-v4-flash,deepseek-v4-flash,1,0,2114,566,1548,90,0.7364,0.6818,0.7967,0
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,4142,2060,2082,140,0.5016,0.4731,0.5315,0
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,5866,4524,1342,140,0.4111,0.3853,0.4377,0
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,0,5682,4587,1095,140,0.4086,0.3852,0.4345,0
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,0,0,2705,934,1771,140,0.5785,0.5486,0.6079,0
alfworld,gemma-3-4b-it,deepseek-v4-flash,0,0,2981,910,2071,120,0.5237,0.4834,0.5631,0
alfworld,gemma-3-4b-it,gemma-3-4b-it,1,0,6372,5752,620,140,0.4644,0.4359,0.4964,0
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,1845,304,1541,467,0.8963,0.8784,0.9138,0
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,2607,1454,1153,492,0.9120,0.9001,0.9232,0
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,2229,1250,979,466,0.9386,0.9294,0.9476,0
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,1784,184,1600,497,0.9027,0.8835,0.9220,0
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,2229,1059,1170,487,0.9389,0.9291,0.9488,0
