dataset,assessor,target,self,capable,n,n_pos,n_neg,n_ep,auroc,ci_lo,ci_hi,underpowered
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,4366,3670,696,138,0.6674,0.6341,0.7002,0
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,5913,5582,331,138,0.7087,0.6686,0.7460,0
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,6024,5663,361,138,0.6214,0.5802,0.6604,0
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,3016,2086,930,137,0.6290,0.5955,0.6649,0
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0,1,2937,2308,629,118,0.6529,0.6170,0.6894,0
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,6408,6125,283,138,0.5598,0.4902,0.6374,0
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,4366,3670,696,138,0.7003,0.6644,0.7335,0
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,5913,5582,331,138,0.6495,0.6142,0.6842,0
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,6024,5663,361,138,0.6396,0.6015,0.6768,0
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,3016,2086,930,137,0.6163,0.5759,0.6555,0
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,0,0,2937,2308,629,118,0.6961,0.6560,0.7389,0
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,6408,6125,283,138,0.6814,0.6390,0.7252,0
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,4366,3670,696,138,0.6519,0.6193,0.6837,0
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,5913,5582,331,138,0.6052,0.5678,0.6437,0
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,6024,5663,361,138,0.5768,0.5381,0.6180,0
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,3016,2086,930,137,0.5768,0.5376,0.6172,0
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,0,0,2937,2308,629,118,0.6568,0.6170,0.6987,0
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,0,6408,6125,283,138,0.5487,0.4897,0.6090,0
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,4366,3670,696,138,0.6887,0.6545,0.7228,0
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,5913,5582,331,138,0.7237,0.6865,0.7588,0
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,6024,5663,361,138,0.6228,0.5757,0.6663,0
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,3016,2086,930,137,0.6430,0.6072,0.6840,0
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0,1,2937,2308,629,118,0.6613,0.6215,0.7008,0
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,6408,6125,283,138,0.6755,0.6218,0.7253,0
alfworld,deepseek-v4-flash,deepseek-v4-flash,1,0,2083,1713,370,90,0.6790,0.6315,0.7246,0
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,4366,3670,696,138,0.5986,0.5728,0.6260,0
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,5913,5582,331,138,0.5630,0.5293,0.5980,0
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,0,6024,5663,361,138,0.5365,0.4983,0.5762,0
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,0,0,3016,2086,930,137,0.4872,0.4577,0.5161,0
alfworld,gemma-3-4b-it,deepseek-v4-flash,0,0,2937,2308,629,118,0.4790,0.4459,0.5134,0
alfworld,gemma-3-4b-it,gemma-3-4b-it,1,0,6408,6125,283,138,0.3941,0.3364,0.4476,0
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,1054,872,182,489,0.7868,0.7509,0.8227,0
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,2140,2108,32,488,0.9596,0.9390,0.9781,0
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,1558,1528,30,490,0.8138,0.7219,0.8905,0
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,1074,855,219,498,0.8542,0.8265,0.8824,0
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,1281,1176,105,485,0.8078,0.7561,0.8536,0
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,1054,872,182,489,0.8646,0.8383,0.8909,0
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,2140,2108,32,488,0.9337,0.8974,0.9609,0
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,1558,1528,30,490,0.8424,0.7719,0.8958,0
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,1074,855,219,498,0.8948,0.8742,0.9136,0
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,1281,1176,105,485,0.8917,0.8653,0.9159,0
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,1054,872,182,489,0.8788,0.8498,0.9047,0
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,2140,2108,32,488,0.9281,0.8504,0.9851,0
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,1558,1528,30,490,0.8714,0.8055,0.9276,0
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,1074,855,219,498,0.9132,0.8935,0.9306,0
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,0,1281,1176,105,485,0.9384,0.9164,0.9572,0
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,1054,872,182,489,0.8587,0.8287,0.8849,0
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,2140,2108,32,488,0.9630,0.9385,0.9809,0
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,1558,1528,30,490,0.8769,0.8032,0.9327,0
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,1074,855,219,498,0.8777,0.8517,0.9015,0
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,1281,1176,105,485,0.8929,0.8647,0.9200,0
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,1054,872,182,489,0.6693,0.6214,0.7163,0
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,2140,2108,32,488,0.6684,0.5259,0.7965,0
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,0,1558,1528,30,490,0.6301,0.4894,0.7603,0
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,0,0,1074,855,219,498,0.7487,0.7066,0.7907,0
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,1,0,1281,1176,105,485,0.7821,0.7294,0.8300,0
