dataset,assessor,target,self,capable,n,n_pos,n_neg,n_ep,auroc,ci_lo,ci_hi,underpowered
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,4285,2283,2002,140,0.8597,0.8371,0.8798,0
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,6203,4958,1245,140,0.8647,0.8475,0.8817,0
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,6005,4950,1055,140,0.8405,0.8230,0.8574,0
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,2872,1211,1661,140,0.7620,0.7309,0.7913,0
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0,1,3067,1038,2029,120,0.8342,0.7983,0.8653,0
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,6507,5919,588,140,0.8872,0.8704,0.9020,0
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,4285,2283,2002,140,0.6811,0.6434,0.7189,0
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,6203,4958,1245,140,0.6340,0.6072,0.6626,0
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,6005,4950,1055,140,0.6198,0.5930,0.6466,0
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,2872,1211,1661,140,0.5859,0.5431,0.6283,0
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,0,0,3067,1038,2029,120,0.5686,0.5119,0.6298,0
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,6507,5919,588,140,0.7301,0.7023,0.7574,0
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,4285,2283,2002,140,0.5442,0.5024,0.5865,0
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,6203,4958,1245,140,0.4678,0.4443,0.4933,0
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,6005,4950,1055,140,0.4625,0.4394,0.4857,0
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,2872,1211,1661,140,0.4472,0.4118,0.4846,0
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,0,0,3067,1038,2029,120,0.4783,0.4275,0.5301,0
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,0,6507,5919,588,140,0.5138,0.4798,0.5483,0
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,4285,2283,2002,140,0.8973,0.8783,0.9156,0
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,6203,4958,1245,140,0.8816,0.8671,0.8948,0
