dataset,assessor,target,self,capable,n,n_pos,n_neg,n_ep,auroc,ci_lo,ci_hi,underpowered
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,2269,1714,555,138,0.8172,0.7850,0.8441,0
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,4849,4616,233,140,0.8106,0.7728,0.8474,0
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,4375,4102,273,140,0.6936,0.6481,0.7353,0
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,1725,1013,712,139,0.7708,0.7360,0.8034,0
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0,1,1287,770,517,117,0.8588,0.8223,0.8878,0
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,5723,5538,185,140,0.7135,0.6585,0.7621,0
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,2269,1714,555,138,0.7674,0.7301,0.8030,0
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,4849,4616,233,140,0.6970,0.6586,0.7366,0
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,4375,4102,273,140,0.6566,0.6112,0.6984,0
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,1725,1013,712,139,0.6955,0.6550,0.7342,0
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,0,0,1287,770,517,117,0.7222,0.6717,0.7731,0
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,5723,5538,185,140,0.7508,0.7017,0.7998,0
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,2269,1714,555,138,0.6472,0.6036,0.6899,0
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,4849,4616,233,140,0.5946,0.5565,0.6349,0
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,4375,4102,273,140,0.5536,0.5120,0.5940,0
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,1725,1013,712,139,0.5695,0.5257,0.6143,0
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,0,0,1287,770,517,117,0.6257,0.5749,0.6761,0
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,0,5723,5538,185,140,0.5381,0.4871,0.5866,0
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,2269,1714,555,138,0.8205,0.7869,0.8517,0
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,4849,4616,233,140,0.8334,0.8004,0.8626,0
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,4375,4102,273,140,0.6581,0.6036,0.7076,0
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,1725,1013,712,139,0.7204,0.6841,0.7553,0
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0,1,1287,770,517,117,0.8335,0.7969,0.8691,0
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,5723,5538,185,140,0.7587,0.7092,0.8014,0
alfworld,deepseek-v4-flash,deepseek-v4-flash,1,0,768,460,308,87,0.8046,0.7505,0.8570,0
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,2269,1714,555,138,0.6121,0.5781,0.6442,0
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,4849,4616,233,140,0.5403,0.4988,0.5833,0
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,0,4375,4102,273,140,0.4958,0.4556,0.5378,0
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,0,0,1725,1013,712,139,0.6073,0.5733,0.6395,0
alfworld,gemma-3-4b-it,deepseek-v4-flash,0,0,1287,770,517,117,0.5567,0.5154,0.6024,0
alfworld,gemma-3-4b-it,gemma-3-4b-it,1,0,5723,5538,185,140,0.4371,0.3812,0.4905,0
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,321,139,182,275,0.9450,0.9178,0.9686,0
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,931,899,32,426,0.9940,0.9863,0.9998,0
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,873,843,30,362,0.8803,0.7835,0.9559,0
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,269,50,219,256,0.9880,0.9767,0.9960,0
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,940,835,105,378,0.9037,0.8614,0.9399,0
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,321,139,182,275,0.9269,0.8938,0.9551,0
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,931,899,32,426,0.9595,0.9251,0.9832,0
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,873,843,30,362,0.8894,0.8141,0.9401,0
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,269,50,219,256,0.9900,0.9734,0.9996,0
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,940,835,105,378,0.9668,0.9462,0.9822,0
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,321,139,182,275,0.9138,0.8784,0.9444,0
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,931,899,32,426,0.9162,0.8286,0.9811,0
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,873,843,30,362,0.8652,0.7812,0.9326,0
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,269,50,219,256,0.9622,0.9284,0.9871,0
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,0,940,835,105,378,0.9646,0.9426,0.9830,0
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,321,139,182,275,0.9545,0.9301,0.9752,0
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,931,899,32,426,0.9910,0.9769,0.9991,0
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,873,843,30,362,0.9372,0.8651,0.9859,0
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,269,50,219,256,0.9943,0.9879,0.9988,0
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,940,835,105,378,0.9748,0.9596,0.9865,0
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,321,139,182,275,0.7954,0.7439,0.8439,0
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,931,899,32,426,0.6822,0.5363,0.8091,0
