dataset,assessor,target,self,capable,n,n_pos,n_neg,n_ep,auroc,ci_lo,ci_hi,underpowered
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,4492,3937,555,140,0.7055,0.6742,0.7358,0
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,6321,6088,233,140,0.7535,0.7176,0.7908,0
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,6445,6172,273,140,0.6383,0.5940,0.6827,0
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,3110,2398,712,139,0.6869,0.6582,0.7149,0
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0,1,3016,2499,517,120,0.7079,0.6755,0.7386,0
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,6730,6545,185,140,0.6787,0.6251,0.7300,0
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,4492,3937,555,140,0.7232,0.6905,0.7530,0
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,6321,6088,233,140,0.6772,0.6402,0.7170,0
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,6445,6172,273,140,0.6417,0.5980,0.6807,0
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,3110,2398,712,139,0.6805,0.6497,0.7129,0
alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,0,0,3016,2499,517,120,0.7222,0.6897,0.7558,0
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,6730,6545,185,140,0.7326,0.6834,0.7805,0
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,4492,3937,555,140,0.6622,0.6302,0.6933,0
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,6321,6088,233,140,0.6007,0.5611,0.6382,0
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,6445,6172,273,140,0.5585,0.5177,0.5996,0
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,3110,2398,712,139,0.6083,0.5757,0.6419,0
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,0,0,3016,2499,517,120,0.6853,0.6491,0.7221,0
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,0,6730,6545,185,140,0.5375,0.4879,0.5855,0
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,4492,3937,555,140,0.7190,0.6863,0.7516,0
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,6321,6088,233,140,0.7829,0.7498,0.8136,0
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,6445,6172,273,140,0.6193,0.5638,0.6680,0
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,3110,2398,712,139,0.6920,0.6591,0.7232,0
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0,1,3016,2499,517,120,0.7260,0.6925,0.7570,0
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,6730,6545,185,140,0.7238,0.6730,0.7676,0
alfworld,deepseek-v4-flash,deepseek-v4-flash,1,0,2150,1842,308,90,0.7130,0.6712,0.7536,0
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,4492,3937,555,140,0.6051,0.5802,0.6313,0
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,6321,6088,233,140,0.5478,0.5088,0.5885,0
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,0,6445,6172,273,140,0.5063,0.4691,0.5454,0
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,0,0,3110,2398,712,139,0.5381,0.5093,0.5657,0
alfworld,gemma-3-4b-it,deepseek-v4-flash,0,0,3016,2499,517,120,0.5120,0.4794,0.5467,0
alfworld,gemma-3-4b-it,gemma-3-4b-it,1,0,6730,6545,185,140,0.4403,0.3861,0.4925,0
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,1,1163,981,182,496,0.8041,0.7686,0.8385,0
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,1,2375,2343,32,499,0.9619,0.9394,0.9791,0
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,1,1885,1855,30,499,0.8161,0.7181,0.8946,0
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0,1,1114,895,219,499,0.8601,0.8317,0.8853,0
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,1,1658,1553,105,500,0.8248,0.7763,0.8685,0
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0,0,1163,981,182,496,0.8712,0.8438,0.8963,0
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,1,0,2375,2343,32,499,0.9318,0.8975,0.9597,0
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,0,1885,1855,30,499,0.8404,0.7678,0.8968,0
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0,0,1114,895,219,499,0.8989,0.8794,0.9173,0
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,0,1658,1553,105,500,0.9074,0.8820,0.9283,0
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,1163,981,182,496,0.8835,0.8556,0.9087,0
