dataset,target,best_external,self_auroc,ext_auroc,delta,ci_lo,ci_hi,n_ext,note
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.6674,0.7003,0.0329,0.0087,0.0595,4,
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.6495,0.7237,0.0742,0.0365,0.1147,4,
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0.5768,0.6396,0.0628,0.0235,0.1021,4,
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.6430,0.6290,-0.0141,-0.0360,0.0087,4,
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0.6790,0.6961,0.0292,-0.0219,0.0804,5,
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0.3941,0.6814,0.2873,0.2437,0.3386,4,
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.7868,0.8788,0.0920,0.0648,0.1199,4,
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.9337,0.9630,0.0292,0.0102,0.0490,4,
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.8714,0.8769,0.0055,-0.0738,0.0834,4,
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.8777,0.9132,0.0355,0.0156,0.0565,4,
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0.7821,0.9384,0.1563,0.1115,0.2055,4,
