dataset,target,best_external,self_auroc,ext_auroc,delta,ci_lo,ci_hi,n_ext,note
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.8172,0.8205,0.0033,-0.0157,0.0229,4,
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.6970,0.8334,0.1364,0.0914,0.1790,4,
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0.5536,0.6936,0.1400,0.0886,0.1904,4,
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.7204,0.7708,0.0504,0.0272,0.0740,4,
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,0.8046,0.8588,0.0515,0.0069,0.0924,5,
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,0.4371,0.7587,0.3215,0.2611,0.3797,4,
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.9450,0.9545,0.0095,-0.0128,0.0330,4,
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0.9595,0.9940,0.0346,0.0136,0.0637,4,
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.8652,0.9372,0.0720,-0.0164,0.1615,4,
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.9943,0.9900,-0.0043,-0.0241,0.0077,4,
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,0.8690,0.9748,0.1058,0.0636,0.1548,4,
