construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,108,0.9236,0.8627,0.0610,0.0010,0.1318
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,108,0.9236,0.6578,0.2658,0.1818,0.3472
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,108,0.9236,0.6053,0.3183,0.2133,0.4278
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,108,0.9236,0.9028,0.0208,-0.0350,0.0772
violation+judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,108,0.9236,0.4834,0.4402,0.3349,0.5511
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,108,0.8237,0.8681,-0.0444,-0.1146,0.0231
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,108,0.8237,0.6948,0.1289,0.0091,0.2563
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,108,0.8237,0.5166,0.3071,0.1756,0.4428
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,108,0.8237,0.8831,-0.0594,-0.1311,0.0082
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,108,0.8237,0.5062,0.3175,0.1953,0.4379
violation+judgment,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,108,0.7878,0.8503,-0.0625,-0.1157,-0.0164
violation+judgment,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,108,0.7878,0.6543,0.1335,-0.0029,0.2750
violation+judgment,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,108,0.7878,0.2940,0.4938,0.3680,0.6201
violation+judgment,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,108,0.7878,0.8870,-0.0992,-0.1736,-0.0277
violation+judgment,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,108,0.7878,0.3781,0.4097,0.2979,0.5318
violation+judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,105,0.7299,0.7661,-0.0431,-0.1236,0.0420
violation+judgment,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,105,0.7299,0.5580,0.1650,0.0367,0.2915
violation+judgment,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,105,0.7299,0.4094,0.3136,0.1880,0.4379
violation+judgment,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,105,0.7299,0.7649,-0.0419,-0.1323,0.0400
violation+judgment,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,105,0.7299,0.6441,0.0789,-0.0662,0.2383
violation+judgment,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,108,0.7917,0.8106,-0.0189,-0.1049,0.0662
violation+judgment,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,108,0.7917,0.6412,0.1505,0.0353,0.2782
violation+judgment,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,108,0.7917,0.5556,0.2361,0.1160,0.3623
violation+judgment,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,108,0.7917,0.8642,-0.0725,-0.1493,-0.0031
violation+judgment,alfworld,deepseek-v4-flash,deepseek-v4-flash,0,82,0.7917,0.6519,0.1361,0.0243,0.2545
violation+judgment,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,108,0.7917,0.5424,0.2492,0.1139,0.3884
violation+judgment,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,108,0.8603,0.9280,-0.0677,-0.1557,0.0065
violation+judgment,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,108,0.8603,0.7573,0.1030,-0.0286,0.2235
violation+judgment,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,108,0.8603,0.5120,0.3484,0.2228,0.4750
