construct,dataset,assessor,target,t,phat_mean,cut_mean
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0,0.6264,0.9985
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,20,0.6264,0.9985
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,40,0.6264,0.9985
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,60,0.6264,0.9985
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,80,0.6264,0.9985
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,100,0.4925,0.2468
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,120,0.5111,0.2699
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,140,0.5272,0.2759
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,160,0.5241,0.2589
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,180,0.5302,0.2904
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,200,0.5224,0.2478
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,220,0.5356,0.2968
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,240,0.5343,0.2612
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,260,0.5322,0.2188
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,280,0.5305,0.1993
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,300,0.5238,0.1825
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,320,0.5199,0.1766
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,340,0.5245,0.1792
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,360,0.5260,0.1894
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,380,0.5272,0.1873
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,400,0.5280,0.1923
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,420,0.5236,0.1631
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,440,0.5228,0.1605
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,460,0.5249,0.1666
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,480,0.5247,0.1658
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,500,0.5272,0.1708
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,520,0.5276,0.1703
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,540,0.5253,0.1786
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,560,0.5221,0.1708
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,580,0.5211,0.1624
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,600,0.5181,0.1553
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,620,0.5192,0.1568
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,640,0.5217,0.1612
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,660,0.5226,0.1693
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,680,0.5233,0.1718
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,700,0.5198,0.1636
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,720,0.5173,0.1515
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,740,0.5164,0.1479
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,760,0.5155,0.1496
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,780,0.5141,0.1390
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,800,0.5115,0.1305
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,820,0.5090,0.1275
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,840,0.5073,0.1229
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,860,0.5053,0.1189
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,880,0.5055,0.1143
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,900,0.5051,0.1144
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,920,0.5034,0.1127
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,940,0.5029,0.1136
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,960,0.5015,0.1162
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,980,0.5023,0.1208
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1000,0.5021,0.1144
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1020,0.5047,0.1160
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1040,0.5044,0.1072
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1060,0.5036,0.1036
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1080,0.5020,0.1002
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1100,0.5006,0.1000
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1120,0.5006,0.0970
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1140,0.4998,0.0949
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1160,0.4987,0.0905
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1180,0.4978,0.0889
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1200,0.4969,0.0862
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1220,0.4956,0.0837
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1240,0.4924,0.0794
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1260,0.4914,0.0789
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1280,0.4908,0.0775
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1300,0.4900,0.0767
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1320,0.4899,0.0770
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1340,0.4893,0.0722
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1360,0.4886,0.0728
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1380,0.4898,0.0756
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1400,0.4882,0.0729
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1420,0.4879,0.0744
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1440,0.4859,0.0703
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1460,0.4866,0.0742
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1480,0.4873,0.0748
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1500,0.4874,0.0757
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1520,0.4877,0.0758
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1540,0.4872,0.0741
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1560,0.4859,0.0707
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1580,0.4856,0.0685
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1600,0.4844,0.0663
