construct,dataset,assessor,target,n,n_ep,batch_bal_acc,batch_phat,incl_mean,incl_sd,post_mean,post_sd,penalty_post,penalty_incl
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,4142,140,0.7947,0.4915,0.7950,0.0023,0.7960,0.0015,0.0012,0.0002
judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,5866,140,0.7802,0.7795,0.7805,0.0027,0.7802,0.0028,0.0000,0.0003
judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,5682,140,0.7460,0.8511,0.7458,0.0027,0.7461,0.0031,0.0001,-0.0002
judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,2705,140,0.7043,0.2708,0.7016,0.0056,0.7042,0.0051,-0.0001,-0.0028
judgment,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,2981,120,0.7704,0.3770,0.7653,0.0046,0.7705,0.0026,0.0001,-0.0051
judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,6372,140,0.8168,0.8462,0.8129,0.0027,0.8139,0.0032,-0.0029,-0.0039
judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,4142,140,0.8202,0.6038,0.8220,0.0031,0.8207,0.0031,0.0005,0.0018
judgment,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,5866,140,0.8084,0.7559,0.8099,0.0015,0.8102,0.0015,0.0018,0.0015
judgment,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,5682,140,0.7856,0.8329,0.7850,0.0019,0.7852,0.0026,-0.0004,-0.0006
judgment,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,2705,140,0.6116,0.2103,0.6102,0.0035,0.6102,0.0044,-0.0014,-0.0015
judgment,alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,2981,120,0.8140,0.3549,0.8113,0.0036,0.8155,0.0046,0.0015,-0.0027
judgment,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,6372,140,0.8254,0.8133,0.8235,0.0019,0.8231,0.0026,-0.0022,-0.0019
judgment,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1845,467,0.7693,0.1715,0.7653,0.0042,0.7686,0.0072,-0.0008,-0.0040
judgment,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,2607,492,0.8284,0.5926,0.8284,0.0005,0.8291,0.0010,0.0007,0.0001
judgment,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,2229,466,0.8645,0.5262,0.8640,0.0008,0.8643,0.0018,-0.0002,-0.0004
judgment,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1784,497,0.7110,0.0996,0.7098,0.0055,0.7173,0.0069,0.0063,-0.0012
judgment,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,2229,487,0.8606,0.4751,0.8608,0.0010,0.8617,0.0007,0.0011,0.0003
judgment,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1845,467,0.7931,0.2372,0.7893,0.0041,0.7937,0.0049,0.0006,-0.0038
judgment,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,2607,492,0.8300,0.6022,0.8304,0.0011,0.8311,0.0018,0.0011,0.0004
judgment,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,2229,466,0.8637,0.5214,0.8639,0.0024,0.8625,0.0029,-0.0012,0.0002
judgment,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1784,497,0.5760,0.0211,0.5884,0.0084,0.5856,0.0082,0.0096,0.0124
judgment,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,2229,487,0.8705,0.4494,0.8702,0.0023,0.8711,0.0033,0.0005,-0.0003
