construct,dataset,assessor,target,n,n_ep,batch_bal_acc,batch_phat,incl_mean,incl_sd,post_mean,post_sd,penalty_post,penalty_incl
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,4285,140,0.7805,0.5346,0.7786,0.0025,0.7792,0.0018,-0.0013,-0.0019
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,6203,140,0.7684,0.7953,0.7677,0.0027,0.7674,0.0027,-0.0009,-0.0006
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,6005,140,0.7276,0.8653,0.7267,0.0031,0.7273,0.0034,-0.0003,-0.0009
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,2872,140,0.6765,0.3119,0.6759,0.0055,0.6775,0.0045,0.0011,-0.0005
violation+judgment,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,3067,120,0.7510,0.4395,0.7474,0.0050,0.7514,0.0028,0.0004,-0.0037
violation+judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,6507,140,0.8061,0.8629,0.8037,0.0015,0.8044,0.0017,-0.0017,-0.0024
violation+judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,4285,140,0.7861,0.6381,0.7878,0.0034,0.7865,0.0031,0.0004,0.0017
violation+judgment,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,6203,140,0.7960,0.7729,0.7941,0.0025,0.7945,0.0023,-0.0016,-0.0020
violation+judgment,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,6005,140,0.7595,0.8479,0.7595,0.0019,0.7595,0.0028,-0.0000,-0.0000
violation+judgment,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,2872,140,0.6032,0.2513,0.6024,0.0030,0.6022,0.0037,-0.0010,-0.0008
violation+judgment,alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,3067,120,0.7901,0.4236,0.7891,0.0051,0.7917,0.0025,0.0016,-0.0010
violation+judgment,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,6507,140,0.8117,0.8307,0.8103,0.0024,0.8096,0.0029,-0.0020,-0.0014
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1878,472,0.7736,0.1810,0.7717,0.0037,0.7738,0.0027,0.0002,-0.0019
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,2626,499,0.8289,0.5977,0.8289,0.0009,0.8291,0.0019,0.0002,0.0001
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,2282,490,0.8645,0.5338,0.8645,0.0012,0.8639,0.0013,-0.0006,-0.0000
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1787,497,0.7280,0.1108,0.7241,0.0083,0.7325,0.0077,0.0045,-0.0038
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,2248,493,0.8642,0.4823,0.8635,0.0009,0.8643,0.0020,0.0001,-0.0007
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1878,472,0.7828,0.2448,0.7806,0.0029,0.7838,0.0042,0.0009,-0.0023
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,2626,499,0.8303,0.6078,0.8311,0.0008,0.8314,0.0017,0.0011,0.0009
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,2282,490,0.8638,0.5299,0.8637,0.0028,0.8626,0.0045,-0.0012,-0.0000
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1787,497,0.6072,0.0355,0.6088,0.0093,0.6073,0.0091,0.0001,0.0016
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,2248,493,0.8725,0.4560,0.8683,0.0034,0.8688,0.0041,-0.0037,-0.0042
