construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,4142,5,0.4973,0.7931,0.7931,1.0000,0.7667,0.7947,0.7974,0.7979,0.7992,0.4919,0.7800,ok,0.0001,0.7970,0.2227
judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,5866,5,0.7712,0.7532,0.7532,1.0000,0.7867,0.7798,0.7841,0.7884,0.7890,0.2694,0.7810,ok,0.9999,0.7917,0.9914
judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,5682,5,0.8073,0.6998,0.6998,1.0000,0.7543,0.7460,0.7698,0.7748,0.7771,0.2484,0.7769,ok,0.9999,0.7691,1.0000
judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,2705,5,0.3453,0.6702,0.6702,1.0000,0.6678,0.7043,0.7144,0.7283,0.7185,0.6351,0.7186,ok,0.0001,0.7200,0.0000
judgment,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,yes,2981,5,0.3053,0.7461,0.7461,1.0000,0.7048,0.7704,0.7593,0.7633,0.7733,0.5874,0.7626,ok,0.0001,0.7750,0.0012
judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,6372,5,0.9027,0.7263,0.7263,1.0000,0.7685,0.8168,0.7856,0.8028,0.8038,0.2854,0.8131,ok,0.9999,0.8069,1.0000
judgment,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,4142,5,0.4973,0.5124,0.5124,1.0000,0.6257,0.6390,0.6376,0.6362,0.6054,0.2560,0.6376,ok,0.0001,0.6368,0.0010
judgment,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,5866,5,0.7712,0.5078,0.5078,1.0000,0.5968,0.5963,0.5792,0.5941,0.5852,0.2902,0.5857,ok,0.0001,0.5990,0.0015
judgment,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,5682,5,0.8073,0.5114,0.5114,1.0000,0.5792,0.5801,0.5809,0.5700,0.5863,0.3027,0.5813,ok,0.0001,0.5881,0.0005
judgment,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,2705,5,0.3453,0.4997,0.4997,1.0000,0.5287,0.5302,0.5361,0.5465,0.5304,0.4392,0.5430,ok,0.0001,0.5581,0.0000
judgment,alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,no,2981,5,0.3053,0.4988,0.4988,1.0000,0.5313,0.5404,0.5363,0.5254,0.5316,0.4142,0.5327,ok,0.0001,0.5578,0.0000
judgment,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,6372,5,0.9027,0.5186,0.5186,1.0000,0.6382,0.5712,0.6596,0.6753,0.6551,0.4652,0.6791,ok,0.0001,0.6741,0.0012
judgment,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,4142,5,0.4973,0.5343,0.5343,1.0000,0.5367,0.5225,0.5439,0.5231,0.5407,0.4192,0.5269,ok,0.2501,0.5253,0.0180
judgment,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,5866,5,0.7712,0.4712,0.4712,1.0000,0.4763,0.4813,0.4836,0.5016,0.4794,0.2472,,no_boundary_between_means,,0.5074,0.9627
judgment,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,no,5682,5,0.8073,0.4729,0.4729,1.0000,0.4649,0.4697,0.4926,0.4975,0.4764,0.3815,0.4705,ok,0.5319,0.5083,0.0230
