construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
outcome,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,4366,5,0.8406,0.5893,0.5893,1.0000,0.6222,0.6333,0.6308,0.6381,0.6206,0.2942,0.6226,ok,0.0001,0.5940,0.2227
outcome,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,5913,5,0.9440,0.6476,0.6476,1.0000,0.6623,0.6015,0.5792,0.6637,0.6483,0.1793,0.6500,ok,0.9999,0.6652,0.9914
outcome,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,6024,5,0.9401,0.5825,0.5825,1.0000,0.5866,0.5526,0.5639,0.6037,0.5940,0.2029,0.5961,ok,0.9999,0.5851,1.0000
outcome,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,3016,5,0.6916,0.5496,0.5496,1.0000,0.6035,0.5897,0.6028,0.5908,0.6029,0.3006,0.5698,ok,0.0001,0.5743,0.0000
outcome,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,yes,2937,5,0.7858,0.5713,0.5713,1.0000,0.6136,0.6124,0.6065,0.6097,0.6136,0.2711,0.5968,ok,0.0001,0.5931,0.0012
outcome,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,6408,5,0.9558,0.5916,0.5916,1.0000,0.5375,0.5597,0.5841,0.6014,0.5616,0.2851,0.5810,ok,0.9999,0.5607,1.0000
outcome,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,4366,5,0.8406,0.5034,0.5034,1.0000,0.6638,0.6615,0.6513,0.6723,0.6672,0.2880,0.6402,ok,0.0001,0.5897,0.0010
outcome,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,5913,5,0.9440,0.5078,0.5078,1.0000,0.6161,0.6089,0.5632,0.6087,0.6132,0.2514,0.6174,ok,0.0001,0.5885,0.0015
outcome,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,6024,5,0.9401,0.5092,0.5092,1.0000,0.6119,0.5458,0.5654,0.6223,0.6052,0.1844,0.6170,ok,0.0001,0.6082,0.0005
outcome,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,3016,5,0.6916,0.4996,0.4996,1.0000,0.6050,0.5930,0.6028,0.6026,0.6035,0.3256,0.5376,ok,0.0001,0.5921,0.0000
