construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
violation,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,2269,5,0.7554,0.7406,0.7406,1.0000,0.7325,0.7584,0.7591,0.7579,0.7540,0.2827,0.6460,ok,0.9999,0.7486,0.2227
violation,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,4849,5,0.9519,0.7309,0.7309,1.0000,0.7396,0.7198,0.6934,0.7413,0.7485,0.1234,0.7259,ok,0.9999,0.7506,0.9914
violation,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,4375,5,0.9376,0.6411,0.6411,1.0000,0.6490,0.6358,0.6464,0.6520,0.6604,0.0984,0.6641,ok,0.9999,0.6476,1.0000
violation,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,1725,5,0.5872,0.6292,0.6292,1.0000,0.6625,0.7005,0.7058,0.7054,0.7015,0.4855,0.6846,ok,0.0001,0.6991,0.0000
violation,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,yes,1287,5,0.5983,0.7406,0.7406,1.0000,0.7146,0.7661,0.7688,0.7740,0.7739,0.3548,0.7702,ok,0.0001,0.7777,0.0012
violation,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,5723,5,0.9677,0.6709,0.6709,1.0000,0.6784,0.6914,0.6872,0.6824,0.6887,0.1320,0.6888,ok,0.9999,0.6759,1.0000
violation,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,2269,5,0.7554,0.5033,0.5033,1.0000,0.7145,0.7148,0.7090,0.7172,0.7165,0.2872,0.6960,ok,0.0001,0.6541,0.0010
violation,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,4849,5,0.9519,0.5120,0.5120,1.0000,0.6430,0.6379,0.5987,0.6439,0.6365,0.2550,0.6418,ok,0.0001,0.6251,0.0015
violation,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,4375,5,0.9376,0.4996,0.4996,1.0000,0.6273,0.5949,0.5996,0.6382,0.6243,0.1625,0.6372,ok,0.0001,0.6282,0.0005
violation,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,1725,5,0.5872,0.4991,0.4991,1.0000,0.6331,0.6449,0.6341,0.6260,0.6441,0.3487,0.5984,ok,0.0001,0.6377,0.0000
