construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
y_env,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,4492,5,0.8764,0.6119,0.6119,1.0000,0.6512,0.6599,0.6546,0.6522,0.6531,0.3242,0.6544,ok,0.0001,0.6197,0.2227
y_env,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,6321,5,0.9631,0.6876,0.6876,1.0000,0.6914,0.6129,0.5878,0.6967,0.6883,0.1693,0.6777,ok,0.9999,0.7014,0.9914
y_env,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,6445,5,0.9576,0.6106,0.6106,1.0000,0.6002,0.5617,0.5850,0.6064,0.6130,0.1461,0.6151,ok,0.9999,0.5967,1.0000
y_env,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,3110,5,0.7711,0.5675,0.5675,1.0000,0.6423,0.6191,0.6366,0.6368,0.6441,0.2973,0.6065,ok,0.0001,0.6180,0.0000
y_env,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,yes,3016,5,0.8286,0.5992,0.5992,1.0000,0.6532,0.6417,0.6242,0.6427,0.6548,0.3508,0.6303,ok,0.0001,0.6279,0.0012
y_env,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,6730,5,0.9725,0.6508,0.6508,1.0000,0.6448,0.5786,0.6026,0.6703,0.6497,0.2060,0.6567,ok,0.9999,0.6419,1.0000
y_env,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,4492,5,0.8764,0.5021,0.5021,1.0000,0.6879,0.6686,0.6598,0.6886,0.6900,0.2777,0.6498,ok,0.0001,0.5976,0.0010
y_env,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,6321,5,0.9631,0.5110,0.5110,1.0000,0.6256,0.6076,0.5767,0.6334,0.6293,0.2487,0.6287,ok,0.0001,0.6063,0.0015
y_env,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,6445,5,0.9576,0.5019,0.5019,1.0000,0.6151,0.5473,0.5639,0.6315,0.6129,0.1793,0.6262,ok,0.0001,0.6144,0.0005
y_env,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,3110,5,0.7711,0.4992,0.4992,1.0000,0.6299,0.6047,0.6348,0.6310,0.6389,0.3279,0.5789,ok,0.0001,0.6252,0.0000
y_env,alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,no,3016,5,0.8286,0.4974,0.4974,1.0000,0.6786,0.6621,0.6638,0.6622,0.6834,0.2917,0.6581,ok,0.0001,0.6488,0.0000
y_env,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,6730,5,0.9725,0.4951,0.4951,1.0000,0.6998,0.5842,0.6054,0.7205,0.7071,0.2133,0.7200,ok,0.0001,0.6930,0.0012
y_env,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,4492,5,0.8764,0.5850,0.5850,1.0000,0.6335,0.5627,0.6423,0.6233,0.6345,0.2669,0.6203,ok,0.2517,0.5959,0.0180
y_env,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,6321,5,0.9631,0.5564,0.5564,1.0000,0.5742,0.5621,0.5477,0.5668,0.5781,0.2530,,no_boundary_between_means,,0.5040,0.9627
y_env,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,no,6445,5,0.9576,0.5270,0.5270,1.0000,0.5582,0.5474,0.5200,0.5426,0.5566,0.2615,0.5135,ok,0.5181,0.5166,0.0230
y_env,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,no,3110,5,0.7711,0.5040,0.5040,1.0000,0.5655,0.5824,0.5783,0.5931,0.5756,0.5197,0.5764,ok,0.0618,0.5217,0.0041
y_env,alfworld,Phi-4-mini-instruct,deepseek-v4-flash,no,3016,5,0.8286,0.5612,0.5612,1.0000,0.6412,0.6233,0.6358,0.6348,0.6384,0.2598,,no_boundary_between_means,,0.5748,0.0141
y_env,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,no,6730,5,0.9725,0.5206,0.5206,1.0000,0.5480,0.5432,0.5192,0.5418,0.5405,0.2024,,no_boundary_between_means,,0.5450,0.0759
