env,judge,dropped,at_target,swing_pts
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.3369
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.2707
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.8590
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.8097
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.2356
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0.0282
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.0770
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.0015
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,0.0078
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0.0815
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0.5209
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,1.7718
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.3060
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,deepseek-v4-flash,0.1098
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,gemma-3-4b-it,2.1749
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,2.3082
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.0486
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.4273
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,deepseek-v4-flash,3.4476
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,gemma-3-4b-it,0.6795
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,Llama-3.3-70B-Instruct,1.2193
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0.1412
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,Phi-4-mini-instruct,0.0859
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,Qwen3.6-35B-A3B,1.9321
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,gemma-3-4b-it,0.2063
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,Llama-3.3-70B-Instruct,0.6115
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,2.5295
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,Phi-4-mini-instruct,2.9334
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,Qwen3.6-35B-A3B,0.6564
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,deepseek-v4-flash,0.3556
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,2.0587
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,2.0062
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,2.4392
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,deepseek-v4-flash,2.3950
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,gemma-3-4b-it,1.9904
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0.0156
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.0273
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.0004
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,0.0032
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0.0283
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0.6297
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,1.1350
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.2683
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,deepseek-v4-flash,0.1053
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,gemma-3-4b-it,1.3871
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,4.8510
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.1161
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,Phi-4-mini-instruct,1.7000
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,deepseek-v4-flash,11.7374
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,gemma-3-4b-it,2.2453
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,Llama-3.3-70B-Instruct,2.6790
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0.4714
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,Phi-4-mini-instruct,0.3753
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,Qwen3.6-35B-A3B,6.6016
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,gemma-3-4b-it,0.6296
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Llama-3.3-70B-Instruct,0.9464
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,1.7811
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Phi-4-mini-instruct,2.1013
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Qwen3.6-35B-A3B,0.5368
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,deepseek-v4-flash,0.2676
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.0160
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.0512
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.8685
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.1720
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0.0085
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.3594
