judge,fit_env,applied_env,target,ba_cross,ba_within,delta
Llama-3.3-70B-Instruct,alfworld,hotpotqa,Llama-3.3-70B-Instruct,0.8233,0.8281,-0.0048
Llama-3.3-70B-Instruct,alfworld,hotpotqa,Mistral-7B-Instruct-v0.3,0.8234,0.8294,-0.0059
Llama-3.3-70B-Instruct,alfworld,hotpotqa,Phi-4-mini-instruct,0.8573,0.8631,-0.0058
Llama-3.3-70B-Instruct,alfworld,hotpotqa,Qwen3.6-35B-A3B,0.8113,0.8212,-0.0099
Llama-3.3-70B-Instruct,alfworld,hotpotqa,gemma-3-4b-it,0.8565,0.8656,-0.0091
Qwen3.6-35B-A3B,alfworld,hotpotqa,Llama-3.3-70B-Instruct,0.8105,0.8136,-0.0031
Qwen3.6-35B-A3B,alfworld,hotpotqa,Mistral-7B-Instruct-v0.3,0.8325,0.8304,0.0021
Qwen3.6-35B-A3B,alfworld,hotpotqa,Phi-4-mini-instruct,0.8676,0.8700,-0.0024
Qwen3.6-35B-A3B,alfworld,hotpotqa,Qwen3.6-35B-A3B,0.8453,0.8484,-0.0031
Qwen3.6-35B-A3B,alfworld,hotpotqa,gemma-3-4b-it,0.8719,0.8761,-0.0041
Llama-3.3-70B-Instruct,hotpotqa,alfworld,Llama-3.3-70B-Instruct,0.7805,0.7805,0.0000
Llama-3.3-70B-Instruct,hotpotqa,alfworld,Mistral-7B-Instruct-v0.3,0.7867,0.7873,-0.0006
Llama-3.3-70B-Instruct,hotpotqa,alfworld,Phi-4-mini-instruct,0.7664,0.7657,0.0007
Llama-3.3-70B-Instruct,hotpotqa,alfworld,Qwen3.6-35B-A3B,0.6784,0.6906,-0.0123
Llama-3.3-70B-Instruct,hotpotqa,alfworld,deepseek-v4-flash,0.7498,0.7503,-0.0005
Llama-3.3-70B-Instruct,hotpotqa,alfworld,gemma-3-4b-it,0.8036,0.8032,0.0004
Qwen3.6-35B-A3B,hotpotqa,alfworld,Llama-3.3-70B-Instruct,0.8199,0.8033,0.0166
Qwen3.6-35B-A3B,hotpotqa,alfworld,Mistral-7B-Instruct-v0.3,0.7965,0.8044,-0.0080
Qwen3.6-35B-A3B,hotpotqa,alfworld,Phi-4-mini-instruct,0.7819,0.7876,-0.0057
Qwen3.6-35B-A3B,hotpotqa,alfworld,Qwen3.6-35B-A3B,0.6286,0.6286,0.0001
Qwen3.6-35B-A3B,hotpotqa,alfworld,deepseek-v4-flash,0.7874,0.7821,0.0053
Qwen3.6-35B-A3B,hotpotqa,alfworld,gemma-3-4b-it,0.8174,0.8209,-0.0034
